BJD - 2454833, Corrected Flux
1977.262447636, 1.053850685,
1977.282879900, 1.056167498,
1977.303312063, 1.055813127,
1977.364608950, 1.044453586,
1977.385041211, 1.046048679,
1977.405473472, 1.044586596,
1977.425905732, 1.045006013,
1977.446338092, 1.043692756,
1977.466770252, 1.044468071,
1977.487202610, 1.044103771,
1977.507634869, 1.045944264,
1977.528067027, 1.044925930,
1977.548499385, 1.046540902,
1977.568931642, 1.044272521,
1977.589363798, 1.044739519,
1977.609796154, 1.046197958,
1977.630228410, 1.046803351,
1977.650660565, 1.045102352,
1977.671092920, 1.045027562,
1977.691525174, 1.044688682,
1977.711957328, 1.043484555,
1977.732389681, 1.044917021,
1977.752821934, 1.048314113,
1977.773254087, 1.045876556,
1977.814118690, 1.044155354,
1977.834550941, 1.045503133,
1977.854983191, 1.044814198,
1977.875415441, 1.044371280,
1977.895847691, 1.045554892,
1977.916279940, 1.045519251,
1977.936712189, 1.044439626,
1977.957144537, 1.044868928,
1977.977576685, 1.047292642,
1977.998008932, 1.044403396,
1978.018441279, 1.044864584,
1978.038873425, 1.044119483,
1978.059305671, 1.043755716,
1978.079738016, 1.045248930,
1978.100170161, 1.044340027,
1978.120602405, 1.045161301,
1978.141034749, 1.044241478,
1978.161466893, 1.043905857,
1978.181899136, 1.045446670,
1978.202331478, 1.042616172,
1978.222763621, 1.045267297,
1978.243195962, 1.045628733,
1978.263628203, 1.045417529,
1978.284060444, 1.042459476,
1978.304492684, 1.045502035,
1978.324924924, 1.047190507,
1978.345357163, 1.046096497,
1978.365789402, 1.049955183,
1978.386221640, 1.045941321,
1978.406653878, 1.044372277,
1978.427086116, 1.046146694,
1978.447518353, 1.045199364,
1978.467950589, 1.044288946,
1978.488382825, 1.043847777,
1978.508815061, 1.045084684,
1978.529247196, 1.043928380,
1978.590543898, 1.047927452,
1978.610976232, 1.044266473,
1978.631408464, 1.044535604,
1978.651840797, 1.045384605,
1978.672272929, 1.046325353,
1978.692705160, 1.046273872,
1978.713137491, 1.045829099,
1978.733569622, 1.044244693,
1978.754001852, 1.044488397,
1978.774434181, 1.047043283,
1978.794866410, 1.046995193,
1978.815298539, 1.045264875,
1978.835730867, 1.046855834,
1978.856163095, 1.047337540,
1978.876595222, 1.047103934,
1978.917459775, 1.045659889,
1978.937891901, 1.044505328,
1978.958324226, 1.044644847,
1978.978756451, 1.077655715,
1978.999188576, 1.044549491,
1979.019620900, 1.046144220,
1979.060485247, 1.045587502,
1979.080917569, 1.046820205,
1979.101349791, 1.047381024,
1979.121782113, 1.047904355,
1979.142214234, 1.046526242,
1979.162646455, 1.047933065,
1979.183078675, 1.046425909,
1979.203510895, 1.048009765,
1979.223943115, 1.044877907,
1979.244375334, 1.048682834,
1979.264807552, 1.047349448,
1979.285239771, 1.048008830,
1979.305671988, 1.047513332,
1979.326104205, 1.045293886,
1979.346536422, 1.046742279,
1979.366968738, 1.047275321,
1979.387400854, 1.045068294,
1979.407833069, 1.046273319,
1979.428265384, 1.046391103,
1979.448697499, 1.047188207,
1979.469129712, 1.049247393,
1979.489562026, 1.047359182,
1979.509994139, 1.045362203,
1979.530426352, 1.045501467,
1979.550858664, 1.046171779,
1979.571290775, 1.044904541,
1979.591723087, 1.045573832,
1979.612155298, 1.046461665,
1979.632587508, 1.046827471,
1979.653019718, 1.046253257,
1979.673451927, 1.045904919,
1979.693884136, 1.045979180,
1979.714316344, 1.045208860,
1979.734748553, 1.046032982,
1979.775612967, 1.046196020,
1979.796045174, 1.047288845,
1979.816477380, 1.048997376,
1979.836909686, 1.046769059,
1979.857341791, 1.047119144,
1979.877773996, 1.046555156,
1979.898206200, 1.046674292,
1979.918638404, 1.045311436,
1979.939070608, 1.046104405,
1979.959502811, 1.047657513,
1979.979935014, 1.048413186,
1980.000367216, 1.046995643,
1980.020799418, 1.046554546,
1980.041231619, 1.044819898,
1980.061663920, 1.044103267,
1980.082096020, 1.046859324,
1980.102528220, 1.046951950,
1980.122960519, 1.048691210,
1980.143392618, 1.045373685,
1980.163824817, 1.045898151,
1980.184257115, 1.044794049,
1980.204689313, 1.047095146,
1980.225121410, 1.048279640,
1980.245553707, 1.044980666,
1980.265985903, 1.048378545,
1980.286417999, 1.045123655,
1980.306850294, 1.044007109,
1980.327282489, 1.046755297,
1980.347714584, 1.046479263,
1980.368146878, 1.046338450,
1980.388579071, 1.047316682,
1980.409011165, 1.045524874,
1980.429443457, 1.046919180,
1980.449875650, 1.045430277,
1980.470307841, 1.044345054,
1980.490740033, 1.044033964,
1980.511172224, 1.043403729,
1980.531604514, 1.044896047,
1980.552036604, 1.045895827,
1980.572468794, 1.044357890,
1980.592901083, 1.044730305,
1980.613333172, 1.044999394,
1980.633765360, 1.045980682,
1980.654197648, 1.046924372,
1980.695061922, 1.044334796,
1980.715494208, 1.043891405,
1980.735926294, 1.043020851,
1980.756358480, 1.044556376,
1980.776790765, 1.043233872,
1980.797222849, 1.044664314,
1980.817655034, 1.045489995,
1980.838087318, 1.042926282,
1980.858519401, 1.044347771,
1980.878951584, 1.044100054,
1980.899383866, 1.043608204,
1980.919815948, 1.042734471,
1980.940248130, 1.045205683,
1980.960680411, 1.044488810,
1980.981112492, 1.043657117,
1981.042409131, 1.044216127,
1981.062841310, 1.044998267,
1981.083273489, 1.045727741,
1981.103705666, 1.044773088,
1981.124137844, 1.046066375,
1981.144570021, 1.044402133,
1981.165002198, 1.045267636,
1981.185434474, 1.042387136,
1981.205866550, 1.045695488,
1981.226298725, 1.044873857,
1981.246731000, 1.043884846,
1981.267163075, 1.045691779,
1981.287595249, 1.046132069,
1981.308027522, 1.045116521,
1981.328459596, 1.045002061,
1981.348891768, 1.044545019,
1981.369324041, 1.045399944,
1981.389756112, 1.044345606,
1981.410188284, 1.043521530,
1981.430620455, 1.044040488,
1981.451052625, 1.044910609,
1981.471484895, 1.044260822,
1981.594077907, 1.042583183,
1981.614510074, 1.044522472,
1981.634942141, 1.045385219,
1981.655374406, 1.043362210,
1981.675806572, 1.043719597,
1981.696238637, 1.044612401,
1981.716670902, 1.045428363,
1981.737103067, 1.044879476,
1981.757535131, 1.044316535,
1981.777967394, 1.044187471,
1981.798399557, 1.043517780,
1981.818831620, 1.045151896,
1981.839263882, 1.044771517,
1981.859696044, 1.044189114,
1981.880128205, 1.044247276,
1981.900560366, 1.044653176,
1981.920992526, 1.043835749,
1981.941424787, 1.044178992,
1981.961856846, 1.043455713,
1981.982289005, 1.045260877,
1982.002721264, 1.044292947,
1982.023153422, 1.044908121,
1982.043585480, 1.044443033,
1982.064017737, 1.042992346,
1982.084449894, 1.043512536,
1982.104881951, 1.043095518,
1982.125314207, 1.043499513,
1982.145746263, 1.044972387,
1982.166178418, 1.044583982,
1982.186610673, 1.043857319,
1982.207042727, 1.044558405,
1982.227474881, 1.044223408,
1982.247907135, 1.045845402,
1982.268339187, 1.044474367,
1982.288771340, 1.043483652,
1982.309203592, 1.042374923,
1982.329635644, 1.043247810,
1982.350067796, 1.044050893,
1982.370500046, 1.044215807,
1982.390932197, 1.042678758,
1982.411364347, 1.042214196,
1982.431796497, 1.043878768,
1982.452228646, 1.039531246,
1982.472660795, 1.042972899,
1982.493092943, 1.042668145,
1982.513525091, 1.041785959,
1982.533957338, 1.041302537,
1982.554389385, 1.042166578,
1982.574821532, 1.041637339,
1982.615685824, 1.043313435,
1982.636117969, 1.043119027,
1982.656550214, 1.042543701,
1982.676982259, 1.041929113,
1982.697414402, 1.041946210,
1982.717846646, 1.042899698,
1982.738278689, 1.043804964,
1982.758710832, 1.042983334,
1982.779143074, 1.042409608,
1982.799575116, 1.040117365,
1982.820007257, 1.041493695,
1982.840439498, 1.041823597,
1982.860871639, 1.042478649,
1982.881303779, 1.041182073,
1982.901735919, 1.043047748,
1982.922167958, 1.042002248,
1982.942600197, 1.042225405,
1982.983464373, 1.044090069,
1983.003896611, 1.044487270,
1983.024328749, 1.043795162,
1983.044760785, 1.041486911,
1983.065193021, 1.042428842,
1983.085625157, 1.044575426,
1983.106057193, 1.042225154,
1983.126489428, 1.041593748,
1983.146921563, 1.044721410,
1983.167353597, 1.042182545,
1983.187785830, 1.043843650,
1983.208217964, 1.043062279,
1983.228650097, 1.045739366,
1983.249082229, 1.043868623,
1983.269514361, 1.043146160,
1983.289946493, 1.042958261,
1983.310378624, 1.043343406,
1983.330810755, 1.043400622,
1983.351242985, 1.042713337,
1983.371675115, 1.041185204,
1983.392107145, 1.042474029,
1983.412539374, 1.039886285,
1983.432971503, 1.043269737,
1983.473835759, 1.044451145,
1983.494267886, 1.040908031,
1983.514699913, 1.044188579,
1983.535132140, 1.044734780,
1983.555564266, 1.041286982,
1983.575996291, 1.042209448,
1983.596428517, 1.044158460,
1983.616860642, 1.042587876,
1983.637292666, 1.042237474,
1983.657724890, 1.041247965,
1983.678156914, 1.042683469,
1983.698589137, 1.041505474,
1983.719021259, 1.041743012,
1983.739453282, 1.041665063,
1983.759885404, 1.040356414,
1983.780317625, 1.041268935,
1983.800749746, 1.042805546,
1983.841613987, 1.042587833,
1983.862046107, 1.042093155,
1983.882478326, 1.041363611,
1983.902910346, 1.042164561,
1983.923342464, 1.042260505,
1983.943774682, 1.044259072,
1983.964206700, 1.041937841,
1983.984638817, 1.042565245,
1984.025503051, 1.039942915,
1984.045935167, 1.041060912,
1984.066367382, 1.041791133,
1984.086799398, 1.042728532,
1984.107231513, 1.041792197,
1984.127663727, 1.043585506,
1984.148095741, 1.041462518,
1984.168527854, 1.040416081,
1984.188960067, 1.043001769,
1984.209392180, 1.042117307,
1984.229824192, 1.043363445,
1984.250256405, 1.041215952,
1984.270688516, 1.041177899,
1984.291120627, 1.041044290,
1984.311552737, 1.039914321,
1984.331984848, 1.039447898,
1984.352417058, 1.040555547,
1984.372849067, 1.038107135,
1984.393281076, 1.042384567,
1984.413713285, 1.041744810,
1984.475009608, 1.041846716,
1984.495441715, 1.042738328,
1984.515873721, 1.041026955,
1984.536305927, 1.041689779,
1984.556738033, 1.042599346,
1984.577170038, 1.041678403,
1984.597602243, 1.038869519,
1984.618034347, 1.041167524,
1984.638466451, 1.042116829,
1984.658898555, 1.041389007,
1984.679330658, 1.039582910,
1984.699762761, 1.041757089,
1984.720194963, 1.041806642,
1984.740626965, 1.040785083,
1984.761059167, 1.039944729,
1984.781491268, 1.038819509,
1984.801923269, 1.039122735,
1984.822355469, 1.042704415,
1984.842787569, 1.038641499,
1984.863219568, 1.042024980,
1984.883651767, 1.040860569,
1984.904083866, 1.042813328,
1984.985812157, 1.043565929,
1985.006244353, 1.041467019,
1985.026676450, 1.041910153,
1985.047108546, 1.042266305,
1985.067540640, 1.043205159,
1985.087972735, 1.042194776,
1985.108404830, 1.041025649,
1985.128836925, 1.042242523,
1985.169701012, 1.041330494,
1985.190133204, 1.041229754,
1985.210565297, 1.040971917,
1985.230997489, 1.040066512,
1985.251429481, 1.041272778,
1985.271861572, 1.042740978,
1985.292293763, 1.041936349,
1985.312725753, 1.042653114,
1985.333157844, 1.046124044,
1985.353590033, 1.044775073,
1985.374022022, 1.042081810,
1985.394454111, 1.041444109,
1985.455750375, 1.040607730,
1985.476182563, 1.041985816,
1985.496614549, 1.040957296,
1985.517046636, 1.040083896,
1985.537478822, 1.041687134,
1985.557910908, 1.040950568,
1985.578342893, 1.040610695,
1985.598775078, 1.040877232,
1985.619207162, 1.040756460,
1985.639639146, 1.040384341,
1985.660071330, 1.039540822,
1985.680503413, 1.040938403,
1985.700935595, 1.039304018,
1985.721367578, 1.038756069,
1985.741799660, 1.039772382,
1985.762231842, 1.040411151,
1985.782663823, 1.041268378,
1985.803095904, 1.041256835,
1985.823528084, 1.039658707,
1985.843960064, 1.039640520,
1985.864392144, 1.039436128,
1985.884824223, 1.041637117,
1985.946120458, 1.038511331,
1985.966552535, 1.039337635,
1985.986984612, 1.039616417,
1986.007416689, 1.037956544,
1986.027848766, 1.039849541,
1986.048280841, 1.040517185,
1986.068713017, 1.039186700,
1986.089144992, 1.039457900,
1986.109577067, 1.040617232,
1986.130009241, 1.042239621,
1986.150441215, 1.038550223,
1986.170873389, 1.039703697,
1986.191305462, 1.038324206,
1986.211737435, 1.040037466,
1986.232169607, 1.038411296,
1986.252601679, 1.038216684,
1986.273033651, 1.038676808,
1986.293465822, 1.039771233,
1986.313897893, 1.039122029,
1986.334329863, 1.038864979,
1986.354762033, 1.038334255,
1986.375194102, 1.041214439,
1986.395626172, 1.039086435,
1986.416058240, 1.038812539,
1986.436490308, 1.037342480,
1986.456922376, 1.042601854,
1986.477354444, 1.036685244,
1986.497786511, 1.041110324,
1986.518218578, 1.039663889,
1986.538650745, 1.041398438,
1986.559082711, 1.047431414,
1986.579514776, 1.048914289,
1986.599946841, 1.050504369,
1986.620378906, 1.055429627,
1986.681675098, 1.038972955,
1986.702107261, 1.037583882,
1986.722539224, 1.038366065,
1986.742971287, 1.037725020,
1986.763403448, 1.040928200,
1986.783835410, 1.039384066,
1986.804267471, 1.037585356,
1986.824699632, 1.038436375,
1986.845131593, 1.037284680,
1986.865563653, 1.038645587,
1986.926859831, 1.039414845,
1986.947291989, 1.039121457,
1986.967724047, 1.038528896,
1986.988156005, 1.039936597,
1987.008588162, 1.039009652,
1987.029020219, 1.040377819,
1987.069884332, 1.039959214,
1987.090316388, 1.041125798,
1987.110748543, 1.041067206,
1987.172044707, 1.038401068,
1987.192476661, 1.039333640,
1987.233340867, 1.039776486,
1987.253772820, 1.039076722,
