epoch,accuracy,loss,val_accuracy,val_loss
0,0.4949438273906708,0.6939114928245544,0.7544204592704773,0.6924749612808228
1,0.8410112261772156,0.6910985112190247,0.9043877124786377,0.6896688938140869
2,0.941853940486908,0.6882784962654114,0.9646365642547607,0.6868528723716736
3,0.9783707857131958,0.6854466199874878,0.9869024157524109,0.6840199828147888
4,0.9904494285583496,0.6825961470603943,0.9914865493774414,0.6811652183532715
5,0.9918539524078369,0.6797215342521667,0.9914865493774414,0.6782854795455933
6,0.9921348094940186,0.6768131852149963,0.9914865493774414,0.6753665208816528
7,0.9926966428756714,0.6738680601119995,0.9921414256095886,0.6724088191986084
8,0.9926966428756714,0.6708803176879883,0.9927963614463806,0.6694062352180481
9,0.9926966428756714,0.6678439974784851,0.9927963614463806,0.6663525104522705
