BJD - 2454833, Corrected Flux
1977.262454286, 1.033627258,
1977.282886551, 1.033967975,
1977.303318716, 1.032970761,
1977.364615610, 1.028315591,
1977.405480136, 1.028344883,
1977.425912399, 1.028048364,
1977.446344761, 1.028699837,
1977.466776922, 1.028471456,
1977.487209283, 1.030016213,
1977.507641544, 1.029950731,
1977.528073704, 1.028577794,
1977.548506064, 1.028861242,
1977.568938323, 1.029551834,
1977.589370482, 1.028152155,
1977.630235097, 1.029022141,
1977.671099612, 1.028454488,
1977.691531868, 1.028877257,
1977.711964024, 1.028978637,
1977.732396379, 1.028448813,
1977.752828635, 1.028837117,
1977.773260789, 1.029543567,
1977.793693143, 1.028501150,
1977.814125396, 1.028971308,
1977.834557650, 1.028691352,
1977.854989902, 1.030310121,
1977.895854406, 1.028181793,
1977.916286657, 1.029253817,
1977.936718908, 1.028726241,
1977.957151258, 1.028410594,
1977.977583408, 1.028667986,
1977.998015657, 1.029337385,
1978.018448006, 1.029081813,
1978.038880154, 1.028416914,
1978.059312402, 1.029363112,
1978.079744750, 1.028926214,
1978.100176897, 1.029103263,
1978.120609143, 1.030330672,
1978.141041489, 1.027873503,
1978.161473635, 1.029022345,
1978.181905880, 1.028013909,
1978.202338224, 1.028281144,
1978.222770368, 1.028640842,
1978.243202712, 1.029575921,
1978.263634955, 1.028274178,
1978.284067198, 1.029335302,
1978.304499441, 1.029112742,
1978.324931682, 1.030373392,
1978.345363924, 1.028642664,
1978.365796165, 1.030052905,
1978.386228405, 1.028686621,
1978.406660645, 1.029445155,
1978.427092885, 1.029266028,
1978.447525123, 1.028309349,
1978.467957362, 1.028966572,
1978.488389600, 1.029613232,
1978.508821838, 1.027402451,
1978.529253975, 1.028377663,
1978.590550684, 1.028844298,
1978.610983019, 1.028446744,
1978.631415254, 1.028983562,
1978.651847588, 1.030096735,
1978.672279723, 1.028543391,
1978.692711956, 1.029631649,
1978.713144289, 1.029721079,
1978.733576422, 1.029677675,
1978.754008653, 1.029412008,
1978.774440985, 1.028697812,
1978.794873216, 1.029974941,
1978.815305347, 1.029041484,
1978.835737677, 1.029592368,
1978.856169907, 1.029973192,
1978.876602036, 1.030057896,
1978.917466594, 1.030016839,
1978.937898721, 1.028659223,
1978.958331049, 1.029636903,
1978.978763276, 1.029110508,
1978.999195403, 1.030736552,
1979.019627728, 1.030041275,
1979.060492080, 1.029227548,
1979.080924404, 1.030300042,
1979.101356629, 1.028917098,
1979.121788952, 1.030437797,
1979.142221076, 1.030901787,
1979.162653299, 1.029535794,
1979.183085521, 1.030117400,
1979.203517743, 1.029812972,
1979.223949964, 1.030311625,
1979.244382185, 1.029235862,
1979.264814406, 1.030326693,
1979.285246626, 1.029867924,
1979.305678845, 1.030660111,
1979.326111065, 1.029808181,
1979.346543284, 1.028504177,
