BJD - 2454833, Corrected Flux
1977.262450416, 1.027466816,
1977.282882680, 1.030394982,
1977.303314843, 1.025971687,
1977.364611730, 1.019177854,
1977.385043991, 1.020402272,
1977.405476252, 1.019281268,
1977.425908512, 1.018143464,
1977.446340872, 1.021690746,
1977.466773032, 1.017417023,
1977.487205391, 1.031990364,
1977.507637649, 1.021086856,
1977.528069807, 1.017736185,
1977.548502165, 1.019082121,
1977.568934422, 1.018737030,
1977.589366578, 1.018899318,
1977.609798934, 1.020508990,
1977.630231190, 1.018751092,
1977.650663345, 1.018603361,
1977.671095700, 1.021801112,
1977.691527954, 1.018033038,
1977.711960108, 1.017259108,
1977.732392461, 1.018542512,
1977.752824714, 1.017126825,
1977.773256867, 1.018349346,
1977.793689218, 1.018056315,
1977.814121470, 1.018043637,
1977.834553721, 1.015959662,
1977.854985971, 1.017960600,
1977.875418221, 1.014490825,
1977.895850471, 1.017395656,
1977.916282720, 1.017439444,
1977.936714969, 1.013427537,
1977.957147317, 1.015244344,
1977.977579465, 1.017933625,
1977.998011712, 1.017441716,
1978.018444059, 1.014043373,
1978.038876205, 1.017441553,
1978.059308450, 1.018618473,
1978.079740796, 1.016345657,
1978.100172941, 1.013972592,
1978.120605185, 1.015297347,
1978.141037529, 1.016541121,
1978.161469673, 1.014996997,
1978.181901916, 1.015637765,
1978.202334258, 1.017539937,
1978.222766400, 1.015456999,
1978.243198742, 1.018425638,
1978.263630983, 1.015142189,
1978.284063224, 1.014631933,
1978.304495464, 1.016485962,
1978.324927704, 1.019218698,
1978.345359943, 1.014009396,
1978.365792181, 1.017468626,
1978.386224420, 1.016166980,
1978.406656658, 1.015335867,
1978.427088895, 1.014458240,
1978.447521132, 1.016148835,
1978.467953369, 1.015581564,
1978.488385604, 1.015730419,
1978.508817840, 1.015897676,
1978.590546678, 1.015326122,
1978.610979011, 1.015732215,
1978.631411244, 1.017866128,
1978.651843576, 1.014837603,
1978.672275708, 1.017855548,
1978.692707939, 1.018858484,
1978.713140270, 1.015518359,
1978.733572401, 1.018181293,
1978.754004631, 1.016729027,
1978.774436960, 1.016185045,
1978.794869189, 1.016433923,
1978.815301318, 1.016524871,
1978.835733646, 1.016293403,
1978.856165874, 1.021430609,
1978.876598001, 1.016086890,
1978.917462554, 1.017975604,
1978.937894680, 1.015139638,
1978.958327005, 1.017554111,
1978.978759230, 1.020338709,
1978.999191355, 1.014237386,
1979.019623679, 1.019586667,
1979.060488025, 1.017205419,
1979.080920348, 1.018880262,
1979.101352570, 1.016742464,
1979.121784892, 1.016552886,
1979.142217013, 1.019194685,
1979.162649234, 1.017813947,
1979.183081454, 1.018864689,
1979.203513674, 1.024892270,
1979.223945894, 1.020100519,
1979.244378112, 1.018604980,
1979.264810331, 1.016751886,
1979.285242549, 1.017984641,
1979.305674767, 1.014685086,
1979.326106984, 1.018773403,
1979.346539200, 1.018780360,
1979.366971517, 1.018237948,
1979.387403632, 1.015798607,
1979.407835847, 1.018149288,
1979.428268163, 1.017970775,
1979.448700277, 1.016180749,
1979.469132491, 1.016617096,
1979.489564804, 1.017495519,
1979.509996917, 1.015810749,
1979.530429130, 1.016245608,
1979.550861442, 1.014930420,
1979.571293553, 1.021411391,
1979.591725865, 1.019968863,
1979.612158075, 1.018459266,
1979.632590286, 1.017441135,
1979.653022496, 1.015988542,
1979.673454705, 1.018525327,
1979.693886914, 1.018123727,
1979.714319123, 1.015839949,
1979.734751330, 1.018458745,
1979.775615745, 1.016256652,
1979.796047952, 1.018677523,
1979.816480158, 1.014451898,
1979.836912463, 1.018520137,
1979.857344569, 1.017683760,
1979.877776774, 1.019160926,
1979.898208978, 1.015762939,
1979.918641182, 1.016190515,
1979.939073386, 1.015527213,
1979.959505589, 1.021508943,
1979.979937791, 1.015777916,
1980.000369993, 1.019288790,
1980.020802195, 1.015182406,
1980.041234396, 1.016625342,
1980.061666697, 1.018268555,
1980.082098797, 1.017378429,
1980.102530997, 1.013893578,
1980.122963296, 1.017974589,
1980.143395395, 1.020557537,
1980.163827594, 1.014705485,
1980.184259892, 1.016899473,
1980.204692089, 1.019539956,
1980.225124187, 1.013929332,
1980.245556483, 1.013865739,
1980.265988680, 1.016888728,
1980.286420775, 1.018076457,
1980.306853071, 1.018101640,
1980.327285266, 1.016701424,
1980.347717360, 1.016045938,
1980.368149654, 1.017908881,
1980.388581848, 1.016458532,
1980.409013941, 1.014907025,
1980.429446234, 1.017382801,
1980.449878426, 1.018484815,
1980.470310618, 1.015011564,
1980.490742809, 1.016666776,
1980.511175000, 1.019848520,
1980.531607290, 1.016247193,
1980.552039380, 1.016095317,
1980.572471570, 1.016015674,
1980.592903859, 1.017674413,
1980.613335948, 1.017874033,
1980.633768136, 1.015694729,
1980.654200423, 1.016423848,
1980.674632511, 1.015035976,
1980.695064698, 1.014518094,
1980.715496984, 1.016079068,
1980.735929070, 1.014710792,
1980.756361256, 1.016174519,
1980.776793540, 1.015727750,
1980.797225625, 1.015710977,
1980.817657809, 1.019245703,
1980.838090093, 1.014330215,
1980.858522176, 1.014215480,
1980.878954359, 1.015336630,
1980.899386642, 1.018148897,
1980.919818724, 1.017407966,
1980.940250905, 1.019191955,
1980.960683186, 1.017559026,
1980.981115267, 1.019714604,
1981.042411906, 1.016311843,
1981.062844085, 1.014645889,
1981.083276263, 1.015616670,
1981.103708441, 1.017255304,
1981.124140619, 1.017191072,
1981.144572796, 1.016921065,
1981.165004972, 1.020433269,
1981.185437249, 1.017363495,
1981.205869324, 1.018761112,
1981.226301500, 1.016061498,
1981.246733774, 1.014793597,
1981.267165849, 1.016596476,
1981.287598023, 1.018744978,
1981.308030296, 1.017965687,
1981.328462369, 1.015221913,
1981.348894542, 1.011813701,
1981.369326814, 1.017245091,
1981.389758886, 1.016859426,
1981.410191058, 1.015241849,
1981.430623229, 1.014234036,
1981.451055399, 1.022609087,
1981.594080680, 1.013745611,
1981.614512847, 1.014643942,
1981.634944913, 1.017423979,
1981.655377179, 1.013688435,
1981.675809345, 1.016859662,
1981.696241410, 1.017454968,
1981.716673675, 1.013239716,
1981.737105839, 1.019003975,
1981.757537903, 1.016363373,
1981.777970167, 1.017860700,
1981.798402329, 1.015582481,
1981.818834392, 1.015206091,
1981.839266654, 1.017030675,
1981.859698816, 1.014699455,
1981.880130977, 1.013038177,
1981.900563138, 1.016712789,
1981.920995298, 1.017081715,
1981.941427558, 1.014940904,
1981.961859618, 1.015385425,
1981.982291777, 1.015478604,
1982.002724035, 1.017975423,
1982.023156194, 1.020062188,
1982.043588252, 1.014664556,
1982.064020509, 1.016332965,
1982.084452666, 1.014712076,
1982.104884722, 1.012728127,
1982.125316978, 1.014473733,
1982.145749034, 1.015348797,
1982.166181189, 1.015562689,
1982.186613444, 1.015096342,
1982.207045498, 1.015610850,
1982.227477652, 1.016415445,
1982.247909905, 1.016435714,
1982.268341958, 1.013567474,
1982.288774111, 1.015691553,
1982.309206363, 1.015880616,
1982.329638415, 1.016544304,
1982.350070566, 1.015754522,
1982.370502817, 1.018061478,
1982.390934967, 1.015111459,
1982.411367117, 1.015403891,
1982.431799267, 1.017092811,
1982.452231416, 1.018392077,
1982.472663564, 1.018234127,
1982.493095712, 1.015532158,
1982.513527861, 1.018928581,
1982.533960108, 1.015838951,
1982.554392155, 1.015356351,
1982.574824301, 1.013903372,
1982.595256547, 1.016887181,
1982.615688593, 1.011401180,
1982.636120738, 1.014180093,
1982.656552983, 1.016043074,
1982.676985027, 1.017673256,
1982.697417171, 1.011652911,
1982.717849415, 1.015995141,
1982.738281458, 1.013421477,
1982.758713601, 1.020148868,
1982.779145843, 1.013256320,
1982.799577885, 1.015877988,
1982.820010026, 1.017617692,
1982.840442267, 1.016133317,
1982.860874407, 1.016904707,
1982.881306548, 1.016042815,
1982.901738687, 1.014933154,
1982.922170726, 1.013315917,
1982.942602965, 1.014564689,
1982.983467141, 1.012407230,
1983.003899379, 1.016487034,
1983.024331516, 1.014719402,
1983.044763553, 1.013361252,
1983.065195789, 1.018355047,
1983.085627925, 1.015099324,
1983.106059960, 1.014469116,
1983.126492195, 1.018185628,
1983.146924329, 1.015784357,
1983.167356364, 1.014568004,
1983.187788597, 1.015011301,
1983.208220731, 1.017934076,
1983.228652864, 1.017829873,
1983.249084996, 1.015584462,
1983.269517128, 1.016532749,
1983.289949259, 1.016637541,
1983.310381391, 1.016517503,
1983.330813521, 1.015809254,
1983.351245751, 1.014249878,
1983.371677881, 1.014592596,
1983.392109911, 1.013332906,
1983.412542140, 1.012861764,
1983.432974268, 1.015632956,
1983.473838524, 1.016664294,
1983.494270651, 1.016720538,
1983.514702679, 1.018035248,
1983.535134905, 1.013182876,
1983.555567031, 1.013949018,
1983.575999057, 1.014884394,
1983.596431282, 1.015710096,
1983.616863407, 1.016215126,
1983.637295431, 1.015161886,
1983.657727655, 1.015056745,
1983.678159678, 1.018181954,
1983.698591902, 1.015672660,
1983.719024024, 1.015152219,
1983.739456046, 1.015527003,
1983.759888168, 1.015588493,
1983.780320390, 1.014517790,
1983.800752511, 1.015028764,
1983.821184631, 1.015815026,
1983.841616751, 1.013437961,
1983.862048871, 1.015531454,
1983.882481090, 1.016743497,
1983.902913109, 1.015369263,
1983.923345228, 1.015974743,
1983.943777446, 1.015553030,
1983.964209463, 1.019026508,
1983.984641581, 1.012481294,
1984.005073797, 1.011661744,
1984.025505814, 1.014788001,
1984.045937930, 1.014568214,
1984.066370145, 1.013758751,
1984.086802160, 1.014195405,
1984.107234275, 1.015027595,
1984.127666489, 1.015450527,
1984.148098503, 1.015744617,
1984.168530617, 1.015832106,
1984.188962830, 1.015533999,
1984.209394942, 1.013892659,
1984.229826955, 1.015016672,
1984.250259166, 1.015673533,
1984.270691278, 1.012946622,
1984.291123388, 1.018134744,
1984.311555499, 1.011639304,
1984.331987609, 1.014321593,
1984.352419819, 1.019125769,
1984.372851828, 1.012532824,
1984.393283837, 1.013584668,
1984.413716045, 1.012748651,
1984.475012369, 1.013752901,
1984.495444475, 1.013574123,
1984.515876482, 1.015443482,
1984.536308687, 1.015903217,
1984.556740793, 1.014347574,
1984.577172798, 1.012761972,
1984.597605003, 1.016771818,
1984.618037107, 1.013907467,
1984.638469211, 1.017473723,
1984.658901315, 1.012397332,
1984.679333418, 1.017687899,
1984.699765520, 1.014024134,
1984.720197723, 1.013969572,
1984.740629724, 1.013385760,
1984.761061926, 1.013874109,
1984.781494027, 1.012450761,
1984.801926028, 1.017112993,
1984.822358228, 1.013808182,
1984.842790328, 1.013443035,
1984.863222327, 1.016301292,
1984.883654526, 1.015761350,
1984.904086624, 1.015017460,
1984.985814914, 1.019007047,
1985.006247111, 1.012194938,
1985.026679207, 1.012618672,
1985.047111303, 1.014351958,
1985.067543398, 1.017641502,
1985.087975493, 1.015289834,
1985.108407587, 1.016514750,
1985.128839681, 1.013084320,
1985.149271775, 1.016325871,
1985.169703768, 1.015245237,
1985.190135961, 1.014086212,
1985.210568054, 1.013884724,
1985.231000245, 1.012996716,
1985.251432237, 1.013600090,
1985.271864328, 1.011907529,
1985.312728510, 1.015628302,
1985.333160599, 1.017727978,
1985.353592789, 1.015254583,
1985.374024778, 1.016869313,
1985.394456867, 1.013837244,
1985.455753131, 1.014821307,
1985.476185318, 1.012491198,
1985.496617304, 1.014637522,
1985.517049391, 1.011398883,
1985.537481577, 1.013421905,
1985.557913662, 1.016349875,
1985.578345647, 1.015167644,
1985.598777832, 1.018602177,
1985.619209916, 1.013264835,
1985.639641900, 1.014904735,
1985.660074084, 1.013511111,
1985.680506166, 1.013959309,
1985.700938349, 1.014060939,
1985.721370331, 1.014649893,
1985.741802413, 1.016635692,
1985.762234595, 1.014106683,
1985.782666576, 1.014094921,
1985.803098656, 1.013276664,
1985.823530837, 1.017164398,
1985.843962816, 1.012673231,
1985.864394896, 1.014841596,
1985.884826975, 1.014237787,
1985.946123210, 1.016295909,
1985.966555287, 1.016737668,
1985.986987364, 1.014650366,
1986.007419441, 1.015225152,
1986.027851517, 1.015001104,
1986.048283593, 1.012344969,
1986.068715768, 1.014343274,
1986.089147743, 1.013922162,
1986.109579818, 1.011926871,
1986.130011992, 1.013766738,
1986.150443966, 1.014109890,
1986.170876139, 1.014623235,
1986.191308212, 1.017182368,
1986.211740185, 1.014393442,
1986.232172357, 1.013709205,
1986.252604429, 1.015320431,
1986.273036400, 1.010533685,
1986.293468572, 1.016176606,
1986.313900642, 1.012370985,
1986.334332612, 1.014768712,
1986.354764782, 1.011910466,
1986.375196851, 1.013966187,
1986.395628920, 1.014147929,
1986.416060989, 1.013569905,
1986.436493057, 1.013638840,
1986.456925125, 1.014969825,
1986.477357193, 1.011983987,
1986.497789260, 1.014500932,
1986.518221326, 1.014901279,
1986.538653492, 1.013922738,
1986.559085459, 1.017482325,
1986.579517524, 1.014318118,
1986.599949589, 1.017170715,
1986.620381654, 1.019602232,
1986.681677845, 1.012800169,
1986.702110008, 1.014528445,
1986.722541971, 1.012543797,
1986.742974033, 1.013869989,
1986.763406195, 1.014850012,
1986.783838156, 1.016595886,
1986.804270218, 1.013506902,
1986.824702378, 1.014668231,
1986.845134339, 1.015290452,
1986.865566399, 1.014488103,
1986.926862576, 1.012973946,
1986.947294735, 1.014953624,
1986.967726792, 1.015743295,
1986.988158750, 1.015152754,
1987.008590907, 1.015972963,
1987.029022964, 1.014281736,
1987.049454920, 1.017550388,
1987.069887076, 1.014545889,
1987.090319132, 1.013956316,
1987.172047450, 1.013877433,
1987.192479404, 1.014982255,
1987.212911457, 1.010944810,
1987.233343610, 1.013358621,
1987.253775563, 1.015686779,
1987.274207615, 1.015666127,
1987.294639767, 1.014263064,
1987.315071718, 1.017130754,
1987.335503769, 1.015023090,
1987.355935919, 1.013429887,
1987.376367869, 1.014159932,
1987.396799919, 1.012905933,
1987.417231968, 1.014383807,
1987.437664017, 1.015436980,
1987.458096066, 1.013765056,
1987.478528214, 1.013148480,
1987.498960162, 1.012445408,
1987.519392309, 1.011613129,
1987.539824356, 1.012846792,
1987.560256303, 1.013979810,
1987.580688449, 1.014421153,
1987.601120495, 1.015888947,
1987.662416630, 1.013598368,
1987.682848575, 1.010082276,
1987.703280719, 1.016381829,
1987.723712762, 1.011690697,
1987.744144805, 1.012757310,
