BJD - 2454833, Corrected Flux
1977.364608218, 1.004228697,
1977.385040479, 1.004616602,
1977.405472740, 1.004148400,
1977.425905000, 1.004709192,
1977.446337360, 1.004306411,
1977.466769519, 1.003955879,
1977.487201877, 1.004553028,
1977.507634135, 1.004327229,
1977.528066293, 1.004421827,
1977.548498650, 1.004269893,
1977.568930907, 1.004125279,
1977.589363064, 1.004338898,
1977.609795419, 1.004107077,
1977.630227675, 1.004305315,
1977.650659830, 1.004192455,
1977.671092184, 1.004247114,
1977.691524438, 1.004163352,
1977.711956591, 1.004286975,
1977.732388944, 1.003665259,
1977.752821197, 1.003987906,
1977.773253349, 1.004016375,
1977.793685700, 1.004401870,
1977.814117952, 1.003971747,
1977.834550202, 1.003978415,
1977.854982452, 1.004129835,
1977.875414702, 1.003936555,
1977.895846952, 1.004089348,
1977.916279200, 1.004260133,
1977.936711448, 1.004029667,
1977.957143797, 1.003753954,
1977.977575944, 1.004505272,
1977.998008191, 1.004233266,
1978.018440537, 1.004034948,
1978.038872683, 1.003783277,
1978.059304929, 1.004002170,
1978.079737274, 1.004005077,
1978.100169418, 1.004263487,
1978.120601662, 1.003509645,
1978.141034006, 1.004281701,
1978.161466149, 1.004082932,
1978.181898392, 1.004299162,
1978.202330734, 1.003973999,
1978.222762876, 1.004108735,
1978.243195217, 1.003829850,
1978.263627458, 1.003906827,
1978.284059698, 1.003745400,
1978.304491938, 1.004134623,
1978.324924178, 1.003791989,
1978.345356417, 1.004071270,
1978.365788655, 1.004150123,
1978.386220893, 1.003926450,
1978.406653131, 1.004051497,
1978.427085368, 1.003789455,
1978.447517604, 1.003868856,
1978.467949841, 1.004010894,
1978.488382077, 1.004056478,
1978.508814312, 1.003595816,
1978.529246446, 1.003650733,
1978.590543148, 1.004103317,
1978.610975481, 1.004179419,
1978.631407714, 1.003943093,
1978.651840046, 1.003776730,
1978.672272177, 1.003866312,
1978.692704409, 1.003921313,
1978.713136739, 1.004115978,
1978.733568869, 1.004069796,
1978.754001099, 1.003961189,
1978.774433428, 1.004293340,
1978.794865657, 1.004290058,
1978.815297785, 1.004286723,
1978.835730113, 1.004330626,
1978.856162340, 1.004130250,
1978.876594468, 1.004225508,
1978.917459020, 1.004456149,
1978.937891146, 1.004185899,
1978.958323471, 1.004044689,
1978.978755695, 1.004135448,
1978.999187819, 1.004226416,
1979.019620143, 1.003992073,
1979.060484489, 1.004017535,
1979.080916811, 1.004139608,
1979.101349034, 1.004295479,
1979.121781355, 1.004097908,
1979.142213476, 1.004079282,
1979.162645697, 1.004242994,
1979.183077916, 1.004239517,
1979.203510136, 1.004098020,
1979.223942355, 1.004457091,
1979.244374574, 1.004086202,
1979.264806792, 1.004245123,
1979.285239010, 1.004422503,
1979.326103444, 1.004101720,
1979.346535661, 1.004048018,
1979.366967976, 1.004457337,
1979.387400092, 1.004137201,
1979.407832307, 1.004151724,
1979.428264622, 1.004308676,
1979.448696736, 1.004327630,
1979.469128949, 1.004127962,
1979.489561262, 1.004463790,
1979.509993375, 1.004171144,
1979.530425587, 1.004076487,
1979.550857899, 1.004250360,
