epoch,accuracy,loss,val_accuracy,val_loss
0,0.9859550595283508,0.6851887106895447,0.9862475395202637,0.6772786378860474
1,0.9904494285583496,0.6679950952529907,0.9888670444488525,0.6578771471977234
2,0.990730345249176,0.6448368430137634,0.9908316731452942,0.6302377581596375
3,0.9915730357170105,0.6107343435287476,0.9908316731452942,0.5885093808174133
4,0.992415726184845,0.5585581660270691,0.9908316731452942,0.5240802764892578
5,0.992415726184845,0.47843432426452637,0.9908316731452942,0.4262894093990326
6,0.992415726184845,0.3605147898197174,0.9921414256095886,0.2889677584171295
7,0.992977499961853,0.2130642831325531,0.9921414256095886,0.14373323321342468
8,0.992977499961853,0.0960562452673912,0.9921414256095886,0.06706658005714417
9,0.992977499961853,0.053373053669929504,0.9921414256095886,0.050065599381923676
