BJD - 2454833, Corrected Flux
1977.262454749, 1.067617486,
1977.282887015, 1.077266111,
1977.303319179, 1.067320296,
1977.364616071, 1.058222967,
1977.385048334, 1.052052987,
1977.405480597, 1.055358615,
1977.425912859, 1.054276893,
1977.446345220, 1.058103116,
1977.466777381, 1.052777580,
1977.487209742, 1.056034945,
1977.507642002, 1.053417347,
1977.528074162, 1.057031593,
1977.548506521, 1.056563217,
1977.568938780, 1.054418086,
1977.589370938, 1.052056200,
1977.609803296, 1.052281381,
1977.630235553, 1.055299180,
1977.650667710, 1.054109524,
1977.671100066, 1.057476796,
1977.691532322, 1.050716263,
1977.711964478, 1.052610824,
1977.732396832, 1.055486523,
1977.752829087, 1.049036443,
1977.773261241, 1.052564117,
1977.793693595, 1.051577983,
1977.814125848, 1.054322964,
1977.834558100, 1.051595896,
1977.854990352, 1.054850008,
1977.875422604, 1.053102633,
1977.895854855, 1.056206853,
1977.916287106, 1.052486654,
1977.936719356, 1.050727473,
1977.957151706, 1.049481577,
1977.977583855, 1.054861201,
1977.998016104, 1.050074931,
1978.018448452, 1.052343716,
1978.038880600, 1.049038445,
1978.059312848, 1.046894433,
1978.079745195, 1.053182990,
1978.100177341, 1.049196536,
1978.120609587, 1.053891523,
1978.141041933, 1.051869954,
1978.161474078, 1.052029115,
1978.181906322, 1.051444819,
1978.202338667, 1.054014474,
1978.222770810, 1.050671430,
1978.243203154, 1.053028646,
1978.263635396, 1.049937504,
1978.284067639, 1.046848096,
1978.304499881, 1.053655364,
1978.324932122, 1.052051741,
1978.345364363, 1.052332984,
1978.365796603, 1.052094032,
1978.386228843, 1.053991541,
1978.406661083, 1.054435047,
1978.427093322, 1.048878730,
1978.447525560, 1.045399891,
1978.467957798, 1.052688332,
1978.488390036, 1.051296198,
1978.508822273, 1.050523252,
1978.529254410, 1.046786005,
1978.590551117, 1.054479905,
1978.610983452, 1.063467802,
1978.631415686, 1.050899223,
1978.651848021, 1.062864175,
1978.672280154, 1.051996851,
1978.692712387, 1.050468123,
1978.713144720, 1.054279462,
1978.733576851, 1.054366233,
1978.754009083, 1.059146636,
1978.774441414, 1.051636661,
1978.794873645, 1.055981672,
1978.815305775, 1.051563746,
1978.835738105, 1.054304317,
1978.856170334, 1.055897857,
1978.876602463, 1.048477223,
1978.917467019, 1.055006269,
1978.937899147, 1.051946104,
1978.958331474, 1.053798720,
1978.978763701, 1.052744552,
1978.999195826, 1.053226792,
1979.019628152, 1.055477970,
1979.060492502, 1.051345002,
1979.080924826, 1.055626209,
1979.101357050, 1.050671826,
1979.121789373, 1.052969837,
1979.142221496, 1.053546287,
1979.162653719, 1.051968523,
1979.183085941, 1.053669537,
1979.203518162, 1.069295681,
1979.223950383, 1.055271304,
1979.244382604, 1.049900204,
1979.264814824, 1.055854989,
1979.285247043, 1.053782280,
1979.305679263, 1.053143800,
1979.326111481, 1.049875420,
1979.346543699, 1.054102107,
1979.366976017, 1.051172160,
1979.387408135, 1.051296502,
1979.407840352, 1.051260504,
1979.428272668, 1.054546711,
1979.448704784, 1.057628634,
1979.469136999, 1.057433462,
1979.489569315, 1.051226536,
1979.510001429, 1.045176917,
1979.530433643, 1.054569011,
1979.550865957, 1.054407362,
1979.571298070, 1.054858305,
1979.591730383, 1.057275229,
1979.612162596, 1.051673784,
1979.632594807, 1.054334080,
1979.653027019, 1.053790479,
1979.673459230, 1.056634628,
1979.693891440, 1.055419713,
1979.714323650, 1.051626147,
1979.734755860, 1.054854430,
1979.755188069, 1.048086013,
1979.775620278, 1.057610451,
1979.796052486, 1.049053522,
1979.816484694, 1.053751801,
1979.836917001, 1.054335329,
1979.857349108, 1.055878411,
1979.877781314, 1.052836067,
1979.898213520, 1.050704027,
1979.918645726, 1.053589263,
1979.939077931, 1.057137398,
1979.959510136, 1.054521392,
1979.979942340, 1.057034390,
1980.000374544, 1.053382004,
1980.020806747, 1.049114545,
1980.041238950, 1.053546820,
1980.061671252, 1.053974428,
1980.082103354, 1.047792541,
1980.102535555, 1.051825166,
1980.122967856, 1.051800402,
1980.143399957, 1.053607083,
1980.163832157, 1.055222104,
1980.184264456, 1.053061716,
1980.204696656, 1.050055889,
1980.225128754, 1.056733985,
1980.245561053, 1.053636900,
1980.265993251, 1.049471429,
1980.286425348, 1.051740452,
1980.306857645, 1.051759926,
1980.327289841, 1.056858666,
1980.347721937, 1.052842502,
1980.368154233, 1.051163229,
1980.388586428, 1.053180640,
1980.429450817, 1.048721864,
1980.449883011, 1.052180217,
1980.470315204, 1.052538887,
1980.490747397, 1.048921254,
1980.511179590, 1.050174770,
1980.531611881, 1.055392718,
1980.552043973, 1.052736770,
1980.572476164, 1.051337665,
1980.592908455, 1.050710011,
1980.613340545, 1.053158890,
1980.633772735, 1.047167480,
1980.654205024, 1.048241155,
1980.674637113, 1.047385047,
1980.695069301, 1.048239771,
1980.715501589, 1.057904808,
1980.735933677, 1.052329970,
1980.756365864, 1.056767301,
1980.776798150, 1.051470595,
1980.797230237, 1.054795759,
1980.817662422, 1.051505767,
1980.838094708, 1.046098145,
1980.858526793, 1.052655048,
1980.878958977, 1.046603821,
1980.899391261, 1.049234007,
1980.919823344, 1.051603573,
1980.940255528, 1.052899919,
