BJD - 2454833, Corrected Flux
1977.262459481, 1.037572657,
1977.303323916, 1.035785034,
1977.364620815, 1.032006805,
1977.385053080, 1.032772387,
1977.405485345, 1.032938417,
1977.425917609, 1.033806562,
1977.446349973, 1.032344022,
1977.466782136, 1.032191929,
1977.487214499, 1.033346073,
1977.507646762, 1.033421754,
1977.528078924, 1.032815378,
1977.548511285, 1.033800480,
1977.568943546, 1.033083631,
1977.589375707, 1.032839321,
1977.609808067, 1.033031986,
1977.630240327, 1.030921044,
1977.650672486, 1.031477028,
1977.671104845, 1.033162511,
1977.691537103, 1.031592734,
1977.711969261, 1.031868057,
1977.732401618, 1.035712950,
1977.752833875, 1.030492483,
1977.773266031, 1.032769154,
1977.793698387, 1.032325283,
1977.814130642, 1.033651136,
1977.834562897, 1.030949064,
1977.854995151, 1.033995212,
1977.875427406, 1.032310079,
1977.895859659, 1.033006481,
1977.916291912, 1.032974263,
1977.936724165, 1.034349095,
1977.957156517, 1.033482227,
1977.977588668, 1.031885558,
1977.998020919, 1.032291598,
1978.018453270, 1.033858271,
1978.038885420, 1.032109241,
1978.059317670, 1.033616292,
1978.079750020, 1.033348142,
1978.100182168, 1.032882281,
1978.120614416, 1.032008469,
1978.141046765, 1.031984099,
1978.161478912, 1.033009399,
1978.181911159, 1.032995130,
1978.202343505, 1.032321176,
1978.222775651, 1.034483571,
1978.243207997, 1.033262479,
1978.263640242, 1.033338626,
1978.284072487, 1.031857660,
1978.304504731, 1.032745285,
1978.324936975, 1.033449589,
1978.345369218, 1.032709667,
1978.365801460, 1.034198987,
1978.386233703, 1.032204510,
1978.406665944, 1.033929155,
1978.427098186, 1.032401813,
1978.447530427, 1.032639252,
1978.467962667, 1.033334793,
1978.488394907, 1.032419209,
1978.508827147, 1.030876458,
1978.529259286, 1.031800627,
1978.590556000, 1.032389994,
1978.610988337, 1.033244893,
1978.631420574, 1.033595051,
1978.651852910, 1.032896402,
1978.672285046, 1.033412101,
1978.692717281, 1.029938337,
1978.713149616, 1.033797387,
1978.733581750, 1.032118293,
1978.754013984, 1.032155835,
1978.774446318, 1.032450481,
1978.794878550, 1.039827676,
1978.815310683, 1.033543859,
1978.835743015, 1.033135412,
1978.856175247, 1.033843219,
1978.876607378, 1.032950771,
1978.917471939, 1.031797815,
1978.937904069, 1.033513513,
1978.958336398, 1.030711721,
1978.978768627, 1.032919428,
1978.999200755, 1.033624806,
1979.019633083, 1.031664820,
1979.060497438, 1.032674216,
1979.080929764, 1.033689438,
1979.101361990, 1.032642386,
1979.121794315, 1.032722669,
1979.142226441, 1.034731488,
1979.162658666, 1.032306867,
1979.183090890, 1.033206706,
1979.203523114, 1.034489232,
1979.223955337, 1.033078817,
1979.244387560, 1.032091723,
1979.264819782, 1.031267239,
1979.285252004, 1.031197373,
1979.305684226, 1.032312430,
1979.326116446, 1.034040633,
1979.346548667, 1.032490345,
1979.366980987, 1.033342858,
1979.387413107, 1.033804483,
1979.407845326, 1.032063744,
1979.428277645, 1.032991406,
1979.448709763, 1.032574042,
1979.469141981, 1.031512674,
1979.489574298, 1.033302409,
1979.510006415, 1.031146726,
1979.530438632, 1.032981385,
1979.550870948, 1.033593562,
1979.571303063, 1.033292321,
1979.591735378, 1.034893227,
1979.612167593, 1.033042604,
1979.632599807, 1.032485126,
1979.653032020, 1.032163889,
1979.673464234, 1.032511187,
1979.693896447, 1.032556640,
1979.714328659, 1.032475977,
1979.734760871, 1.032463172,
1979.775625293, 1.032825752,
1979.796057504, 1.031199432,
