BJD - 2454833, Corrected Flux
1977.262444703, 1.003233464,
1977.282876965, 1.003232562,
1977.303309127, 1.003208898,
1977.364606010, 1.003464781,
1977.385038270, 1.003380730,
1977.405470529, 1.003333357,
1977.425902788, 1.003354900,
1977.446335146, 1.003440113,
1977.466767304, 1.003515869,
1977.487199662, 1.003280491,
1977.507631919, 1.003294795,
1977.528064076, 1.003402287,
1977.548496432, 1.003454192,
1977.568928688, 1.003472718,
1977.589360843, 1.003395489,
1977.609793198, 1.003513215,
1977.630225452, 1.003556551,
1977.650657606, 1.003376137,
1977.671089959, 1.003459387,
1977.691522212, 1.003527284,
1977.711954364, 1.003351615,
1977.732386716, 1.003410328,
1977.752818967, 1.003351612,
1977.773251118, 1.003481536,
1977.793683469, 1.003419059,
1977.814115719, 1.003428728,
1977.834547969, 1.003543548,
1977.854980217, 1.003415975,
1977.875412466, 1.003593726,
1977.895844714, 1.003567715,
1977.916276962, 1.003428314,
1977.936709209, 1.003462840,
1977.957141556, 1.003563288,
1977.977573702, 1.003611644,
1977.998005948, 1.003527267,
1978.018438293, 1.003452218,
1978.038870438, 1.003579802,
1978.059302683, 1.003459876,
1978.079735026, 1.003599349,
1978.100167170, 1.003526711,
1978.120599413, 1.003451686,
1978.141031755, 1.003573223,
1978.161463898, 1.003622751,
1978.181896139, 1.003522597,
1978.202328480, 1.003442436,
1978.222760621, 1.003481012,
1978.243192961, 1.003515278,
1978.263625201, 1.003561519,
1978.284057440, 1.003684878,
1978.304489679, 1.003487335,
1978.324921917, 1.003357171,
1978.345354155, 1.003663554,
1978.365786393, 1.003487853,
1978.386218630, 1.003495022,
1978.406650866, 1.003456005,
1978.427083102, 1.003556040,
1978.447515338, 1.003578095,
1978.467947573, 1.003606495,
1978.488379807, 1.003489529,
1978.508812042, 1.003541392,
1978.590540874, 1.003474744,
1978.610973206, 1.003588814,
1978.631405437, 1.003584775,
1978.651837768, 1.003477808,
1978.672269898, 1.003534242,
1978.692702128, 1.003492685,
1978.713134458, 1.003706311,
1978.733566587, 1.003567838,
1978.753998815, 1.003443923,
1978.774431144, 1.003634678,
1978.794863371, 1.003605284,
1978.815295499, 1.003584834,
1978.835727825, 1.003602035,
1978.856160052, 1.003557076,
1978.876592177, 1.003625555,
1978.917456728, 1.003590643,
1978.937888853, 1.003677981,
1978.958321177, 1.003552670,
1978.978753400, 1.003479211,
1978.999185523, 1.003464401,
1979.019617846, 1.003498181,
1979.060482190, 1.003532421,
1979.080914511, 1.003531348,
1979.101346732, 1.003634650,
1979.121779052, 1.003565222,
1979.142211172, 1.003389916,
1979.162643392, 1.003481309,
1979.183075610, 1.003378947,
1979.203507829, 1.003519128,
1979.223940047, 1.003378894,
1979.244372265, 1.003404395,
1979.264804482, 1.003475900,
1979.285236698, 1.003631313,
1979.305668915, 1.003517266,
1979.326101130, 1.003469851,
1979.346533346, 1.003437987,
1979.366965661, 1.003379271,
1979.387397775, 1.003553935,
1979.407829989, 1.003471180,
1979.428262302, 1.003545950,
1979.448694415, 1.003495755,
1979.469126628, 1.003432865,
1979.489558940, 1.003536974,
1979.509991051, 1.003656040,
1979.530423263, 1.003632891,
1979.550855574, 1.003473242,
1979.571287684, 1.003459087,
1979.591719994, 1.003409621,
1979.612152203, 1.003523544,
1979.632584412, 1.003574966,
1979.653016621, 1.003528779,
1979.673448829, 1.003670181,
1979.693881036, 1.003558064,
1979.714313243, 1.003651875,
1979.734745450, 1.003553980,
1979.755177656, 1.003449120,
1979.775609862, 1.003553713,
1979.796042067, 1.003527892,
1979.816474272, 1.003406753,
1979.836906577, 1.003444931,
1979.857338681, 1.003540459,
1979.877770884, 1.003430111,
1979.898203087, 1.003548987,
1979.918635290, 1.003420879,
1979.959499693, 1.003500973,
1980.000364096, 1.003377593,
1980.020796296, 1.003339708,
1980.041228496, 1.003493752,
1980.061660795, 1.003497220,
1980.082092894, 1.003474022,
1980.102525093, 1.003497795,
1980.122957391, 1.003539943,
1980.143389488, 1.003419463,
1980.163821686, 1.003432306,
1980.184253982, 1.003419999,
1980.204686179, 1.003282374,
1980.225118274, 1.003415289,
1980.245550570, 1.003464145,
1980.265982764, 1.003426588,
1980.286414859, 1.003571167,
1980.306847153, 1.003518673,
1980.327279347, 1.003570284,
1980.347711440, 1.003528654,
1980.368143733, 1.003423149,
1980.388575925, 1.003546115,
1980.409008017, 1.003584895,
1980.429440308, 1.003426780,
1980.449872499, 1.003557364,
1980.470304689, 1.003556045,
1980.490736879, 1.003366471,
1980.511169069, 1.003536881,
1980.531601358, 1.003455338,
1980.552033447, 1.003515426,
1980.572465635, 1.003506469,
1980.592897923, 1.003459444,
1980.613330010, 1.003506840,
