epoch,accuracy,loss,val_accuracy,val_loss
0,0.9632022380828857,0.691652774810791,0.9967256188392639,0.6899571418762207
1,0.9910112619400024,0.6882728338241577,0.9967256188392639,0.6863217353820801
2,0.9910112619400024,0.6843899488449097,0.9967256188392639,0.6820499300956726
3,0.9910112619400024,0.67974853515625,0.9967256188392639,0.6768630743026733
4,0.9910112619400024,0.6740361452102661,0.9967256188392639,0.6703945994377136
5,0.9910112619400024,0.6668080687522888,0.9967256188392639,0.6621069312095642
6,0.9910112619400024,0.6574546694755554,0.9967256188392639,0.6512546539306641
7,0.9910112619400024,0.6450452208518982,0.9967256188392639,0.6366561651229858
8,0.9910112619400024,0.6280083656311035,0.9967256188392639,0.6162119507789612
9,0.9910112619400024,0.6035257577896118,0.9967256188392639,0.5859571099281311
