BJD - 2454833, Corrected Flux
1977.262449188, 1.013285320,
1977.282881452, 1.011879932,
1977.303313616, 1.027955319,
1977.364610506, 1.021796421,
1977.385042768, 1.019431039,
1977.405475030, 1.020823502,
1977.425907291, 1.020015837,
1977.446339652, 1.019043667,
1977.466771812, 1.020311663,
1977.487204172, 1.021335449,
1977.507636432, 1.019602890,
1977.528068591, 1.019965478,
1977.548500949, 1.020532943,
1977.568933207, 1.019980703,
1977.589365365, 1.020222388,
1977.609797722, 1.020207524,
1977.630229978, 1.020912943,
1977.650662135, 1.020237504,
1977.671094490, 1.019810793,
1977.691526745, 1.022837470,
1977.711958900, 1.020639592,
1977.732391254, 1.019711509,
1977.752823508, 1.020716967,
1977.773255661, 1.020753140,
1977.793688014, 1.020272988,
1977.814120267, 1.022829294,
1977.834552519, 1.019909132,
1977.854984770, 1.022497240,
1977.875417021, 1.020946714,
1977.895849271, 1.020948936,
1977.916281522, 1.021382017,
1977.936713771, 1.023036335,
1977.957146120, 1.019779448,
1977.977578269, 1.021392939,
1977.998010517, 1.022312511,
1978.018442865, 1.020600013,
1978.038875012, 1.022880967,
1978.059307259, 1.020114781,
1978.079739605, 1.020538026,
1978.100171751, 1.021819756,
1978.120603996, 1.022032189,
1978.141036341, 1.021682967,
1978.161468486, 1.021016559,
1978.181900729, 1.021750987,
1978.202333073, 1.021708753,
1978.222765216, 1.020767956,
1978.243197558, 1.021371536,
1978.263629801, 1.021293351,
1978.284062042, 1.021561732,
1978.304494283, 1.021308215,
1978.324926524, 1.021053050,
1978.345358764, 1.023609914,
1978.365791004, 1.021377914,
1978.386223243, 1.020959626,
1978.406655482, 1.022010933,
1978.427087720, 1.021598165,
1978.447519958, 1.018989562,
1978.467952196, 1.021803697,
1978.488384433, 1.019880993,
1978.508816669, 1.021167051,
1978.529248805, 1.029311856,
1978.590545511, 1.020959459,
1978.610977845, 1.021102356,
1978.631410079, 1.020962688,
1978.651842412, 1.021794973,
1978.672274545, 1.021038243,
1978.692706777, 1.021860328,
1978.713139109, 1.020952696,
1978.733571240, 1.019702309,
1978.754003471, 1.021522515,
1978.774435802, 1.020660402,
1978.794868032, 1.019183211,
1978.815300161, 1.021067091,
1978.835732490, 1.021653425,
1978.856164719, 1.022300484,
1978.876596848, 1.019021034,
1978.917461402, 1.019416042,
1978.937893529, 1.019494997,
1978.958325856, 1.019355699,
1978.978758081, 1.019568250,
1978.999190207, 1.021902808,
1979.019622532, 1.020495327,
1979.060486881, 1.021853181,
1979.080919204, 1.022274152,
1979.101351427, 1.020855374,
1979.121783750, 1.020701194,
1979.142215872, 1.021132761,
1979.162648094, 1.020876129,
1979.183080315, 1.019636744,
1979.203512536, 1.018783407,
1979.223944756, 1.020800845,
1979.244376976, 1.020882602,
1979.264809196, 1.019868413,
1979.285241414, 1.019121288,
1979.305673633, 1.020229813,
1979.326105851, 1.021157742,
1979.346538069, 1.020384517,
1979.366970386, 1.021366460,
1979.387402503, 1.019088944,
1979.407834719, 1.020788981,
1979.428267035, 1.021388509,
1979.448699150, 1.020575426,
1979.469131365, 1.020861490,
1979.489563679, 1.020216472,
1979.509995793, 1.019827242,
1979.530428007, 1.020949534,
1979.550860320, 1.020291915,
1979.571292433, 1.020929403,
1979.591724745, 1.019617969,
1979.612156956, 1.023234994,
1979.632589168, 1.021250978,
1979.653021378, 1.021285100,
1979.673453589, 1.019191230,
1979.693885799, 1.020995929,
1979.714318008, 1.019404025,
1979.734750217, 1.020118766,
1979.775614634, 1.018818321,
1979.796046841, 1.020902642,
1979.816479048, 1.020658870,
1979.836911355, 1.020437212,
1979.857343461, 1.020077378,
1979.877775667, 1.019372425,
1979.898207873, 1.018641480,
1979.918640078, 1.018666925,
1979.939072282, 1.019246599,
1979.959504486, 1.020529186,
1979.979936689, 1.018805269,
1980.000368892, 1.019809482,
1980.020801095, 1.020103199,
1980.041233297, 1.021124562,
1980.061665599, 1.020709421,
1980.082097700, 1.018356664,
1980.102529901, 1.019163983,
1980.122962201, 1.019731239,
1980.143394301, 1.021865805,
1980.163826501, 1.018231455,
1980.184258800, 1.018958068,
1980.204690998, 1.019272844,
1980.225123097, 1.019132762,
1980.245555394, 1.020545235,
1980.265987592, 1.018456994,
1980.286419688, 1.027616354,
1980.306851985, 1.018326332,
1980.327284181, 1.019571596,
1980.347716276, 1.019620673,
1980.368148571, 1.019423972,
1980.388580765, 1.018768487,
1980.409012860, 1.020111079,
1980.429445153, 1.019773383,
1980.449877346, 1.018958504,
