BJD - 2454833, Corrected Flux
1977.262459557, 1.038999399,
1977.282891824, 1.043325762,
1977.303323992, 1.040060881,
1977.364620890, 1.034720819,
1977.385053155, 1.035015394,
1977.405485420, 1.034059461,
1977.425917684, 1.034830475,
1977.446350047, 1.034572621,
1977.466782211, 1.034974169,
1977.487214573, 1.033033144,
1977.507646835, 1.034209509,
1977.528078997, 1.036281955,
1977.548511359, 1.034774145,
1977.568943620, 1.037025663,
1977.589375780, 1.034530350,
1977.609808140, 1.035233768,
1977.630240399, 1.034111346,
1977.650672558, 1.035118674,
1977.671104917, 1.033758454,
1977.691537175, 1.035119204,
1977.711969332, 1.034733071,
1977.732401689, 1.034878303,
1977.752833946, 1.034572847,
1977.773266102, 1.033895254,
1977.793698458, 1.035865435,
1977.814130713, 1.034676231,
1977.834562968, 1.034029473,
1977.854995222, 1.036236401,
1977.875427476, 1.036237233,
1977.895859729, 1.034653042,
1977.916291982, 1.033604103,
1977.936724234, 1.034426445,
1977.957156586, 1.034665525,
1977.977588738, 1.034243541,
1977.998020989, 1.034090685,
1978.018453339, 1.036849362,
1978.038885489, 1.034183380,
1978.059317739, 1.035959685,
1978.079750088, 1.035334586,
1978.100182237, 1.034232801,
1978.120614485, 1.035395784,
1978.141046833, 1.034623944,
1978.161478979, 1.034703008,
1978.181911226, 1.036135679,
1978.202343573, 1.033941042,
1978.222775718, 1.037988359,
1978.243208064, 1.035546627,
1978.263640309, 1.035217408,
1978.284072553, 1.033981758,
1978.304504797, 1.035142831,
1978.324937041, 1.035641079,
1978.345369284, 1.037308636,
1978.365801526, 1.035369046,
1978.386233768, 1.035731129,
1978.406666010, 1.035130151,
1978.427098251, 1.033253337,
1978.447530492, 1.066785259,
1978.467962732, 1.034960242,
1978.488394972, 1.032288199,
1978.508827211, 1.035209505,
1978.529259350, 1.034481413,
1978.590556064, 1.036895366,
1978.610988401, 1.036964468,
1978.631420637, 1.035983602,
1978.651852973, 1.034899300,
1978.672285109, 1.035194433,
1978.692717344, 1.036425826,
1978.713149678, 1.034355460,
1978.733581813, 1.034524113,
1978.754014046, 1.036954277,
1978.774446380, 1.036214041,
1978.794878612, 1.036584908,
1978.815310745, 1.034396910,
1978.835743077, 1.034822943,
1978.856175308, 1.034783748,
1978.876607439, 1.037538021,
1978.917472000, 1.037004720,
1978.937904129, 1.035950574,
1978.958336458, 1.036172262,
1978.978768687, 1.035129657,
1978.999200815, 1.036424394,
1979.019633143, 1.035078327,
1979.060497497, 1.035802238,
1979.080929823, 1.033661171,
1979.101362049, 1.036884549,
1979.121794375, 1.036216194,
1979.142226500, 1.036450479,
1979.162658724, 1.035761121,
1979.183090948, 1.036966918,
1979.203523171, 1.036146612,
1979.223955394, 1.034388313,
1979.244387618, 1.035921112,
1979.264819840, 1.036816459,
1979.285252061, 1.034557477,
1979.305684282, 1.034629228,
1979.326116503, 1.034863015,
1979.346548724, 1.035400059,
1979.366981044, 1.037702000,
1979.387413163, 1.036020585,
1979.407845382, 1.034568681,
1979.428277701, 1.035375335,
1979.448709819, 1.034216895,
1979.469142037, 1.035691026,
1979.489574353, 1.034874527,
1979.510006470, 1.036350512,
1979.530438687, 1.036293021,
1979.550871002, 1.035481881,
1979.571303118, 1.037178487,
1979.591735432, 1.036170574,
1979.612167647, 1.036251305,
1979.632599861, 1.035156354,
1979.653032074, 1.036922713,
1979.673464287, 1.035666850,
1979.693896500, 1.035443000,
1979.714328712, 1.034691396,
1979.734760924, 1.034722436,
1979.755193135, 1.036432848,
1979.775625346, 1.035748423,
1979.796057556, 1.034829445,
1979.816489766, 1.035736228,
1979.836922076, 1.035040906,
1979.857354184, 1.035205725,
1979.877786393, 1.037139673,
1979.898218601, 1.034649298,
1979.918650809, 1.034538135,
1979.939083016, 1.035371368,
1979.959515223, 1.035799623,
1979.979947428, 1.033916805,
1980.000379634, 1.035590230,
1980.020811840, 1.037371317,
1980.041244044, 1.033969976,
1980.061676349, 1.035210713,
1980.082108453, 1.035021902,
1980.102540657, 1.035723114,
1980.122972960, 1.033751854,
1980.143405062, 1.033288147,
1980.163837264, 1.035820529,
1980.184269566, 1.034926097,
1980.204701767, 1.035134730,
1980.225133868, 1.035751582,
1980.245566169, 1.035046838,
1980.265998368, 1.034752720,
1980.286430468, 1.033650322,
1980.306862767, 1.034714499,
1980.327294965, 1.035318255,
1980.347727064, 1.035236087,
1980.368159361, 1.036365441,
1980.388591558, 1.033564252,
1980.409023655, 1.035954886,
1980.429455951, 1.034743837,
1980.449888148, 1.033583636,
1980.470320343, 1.035325522,
1980.490752538, 1.033312622,
1980.511184732, 1.033752163,
1980.531617027, 1.035803822,
1980.572481313, 1.033956686,
1980.592913606, 1.035166757,
1980.613345698, 1.035454400,
1980.633777890, 1.034154637,
1980.654210181, 1.035446482,
1980.674642272, 1.035748553,
1980.695074463, 1.033706876,
1980.715506753, 1.035376054,
1980.735938842, 1.033341858,
1980.756371032, 1.034196544,
1980.776803320, 1.033060701,
1980.797235408, 1.034662440,
1980.817667596, 1.034849007,
1980.838099884, 1.034374783,
1980.878964157, 1.032589671,
1980.899396443, 1.035465565,
1980.919828529, 1.033854672,
1980.940260714, 1.035402622,
1980.960692998, 1.035210893,
1980.981125083, 1.035442689,
1981.042421733, 1.034190232,
1981.062853915, 1.032581682,
1981.083286097, 1.033394143,
1981.103718279, 1.035156202,
1981.124150460, 1.035326353,
1981.144582641, 1.034913742,
1981.165014821, 1.036897922,
1981.185447101, 1.033659283,
1981.205879180, 1.035371320,
1981.226311359, 1.036335050,
1981.246743637, 1.033980448,
1981.267175715, 1.035297173,
1981.287607893, 1.035318126,
1981.308040170, 1.033581550,
1981.328472247, 1.036478395,
1981.348904423, 1.033771358,
1981.369336699, 1.033985758,
1981.389768774, 1.033033634,
1981.410200949, 1.034889067,
1981.430633123, 1.033111607,
1981.451065298, 1.036064937,
1981.471497571, 1.035020152,
1981.594090603, 1.033375301,
1981.614522774, 1.036344929,
1981.634954844, 1.048979785,
1981.655387114, 1.031932930,
1981.675819283, 1.034680618,
1981.696251352, 1.033989523,
1981.716683620, 1.034864490,
1981.737115788, 1.034991573,
1981.757547856, 1.032521443,
1981.777980122, 1.035549513,
1981.798412289, 1.034255414,
1981.818844355, 1.035011638,
1981.839276621, 1.032536365,
1981.859708786, 1.032138930,
1981.880140951, 1.032163785,
1981.900573116, 1.034928057,
1981.921005279, 1.034670452,
1981.941437543, 1.033011881,
1981.961869606, 1.034374720,
1981.982301769, 1.034258847,
1982.002734031, 1.032327775,
1982.023166192, 1.033405990,
1982.043598254, 1.034379927,
1982.064030515, 1.033060492,
1982.084462675, 1.034634657,
1982.104894735, 1.033934201,
1982.125326995, 1.034147413,
1982.145759054, 1.033495919,
1982.166191213, 1.033977209,
1982.186623471, 1.031999823,
1982.207055529, 1.034631769,
1982.227487686, 1.035040914,
1982.247919943, 1.033770150,
1982.268352000, 1.033717065,
1982.288784156, 1.033297538,
1982.309216412, 1.032361474,
1982.329648467, 1.033002675,
1982.350080622, 1.033565351,
1982.370512876, 1.033272999,
1982.390945030, 1.032560729,
1982.411377183, 1.032307193,
1982.431809336, 1.033781498,
1982.452241489, 1.032993207,
1982.472673641, 1.032536287,
1982.493105793, 1.031804027,
1982.513537944, 1.031616219,
1982.533970195, 1.033468618,
1982.554402246, 1.031997841,
1982.574834396, 1.032405672,
1982.595266646, 1.034308028,
1982.615698695, 1.031361929,
1982.636130843, 1.033298426,
1982.656563092, 1.033171764,
1982.676995140, 1.032429228,
1982.697427287, 1.031958884,
1982.717859534, 1.033479475,
1982.738291581, 1.032506329,
1982.758723727, 1.033541398,
1982.799588018, 1.030983062,
1982.820020163, 1.032471173,
1982.840452407, 1.032437418,
1982.860884551, 1.032516157,
1982.881316695, 1.033013694,
1982.901748838, 1.031512935,
1982.922180881, 1.032978409,
1982.942613123, 1.031325694,
1982.983477306, 1.033040389,
1983.003909547, 1.033227325,
1983.024341688, 1.031744739,
1983.044773728, 1.032927474,
1983.065205968, 1.031558221,
1983.085638107, 1.033146516,
1983.106070146, 1.033259378,
1983.126502385, 1.032875468,
1983.146934522, 1.033102327,
1983.167366560, 1.032560232,
1983.187798797, 1.032241562,
1983.208230934, 1.032996520,
1983.228663070, 1.033936133,
1983.249095206, 1.033000131,
1983.269527341, 1.033301120,
1983.289959476, 1.033674769,
1983.310391611, 1.032585242,
1983.330823746, 1.034478683,
1983.351255979, 1.032111804,
1983.371688112, 1.031224818,
1983.392120145, 1.032607730,
1983.412552378, 1.030142611,
1983.432984510, 1.034574831,
1983.473848773, 1.033409441,
1983.494280903, 1.033247912,
1983.514712934, 1.031447947,
1983.535145164, 1.033417439,
