BJD - 2454833, Corrected Flux
1977.262444508, 1.002535656,
1977.282876770, 1.001866297,
1977.303308932, 1.002635769,
1977.364605815, 1.003476310,
1977.385038075, 1.002954968,
1977.405470334, 1.003496301,
1977.425902593, 1.003173706,
1977.446334952, 1.002635891,
1977.466767110, 1.003126472,
1977.487199468, 1.003615893,
1977.507631725, 1.003781115,
1977.528063882, 1.003026027,
1977.548496238, 1.003189465,
1977.568928493, 1.003556417,
1977.589360649, 1.003640336,
1977.609793004, 1.003137748,
1977.630225258, 1.003601894,
1977.650657412, 1.003290770,
1977.671089765, 1.004570626,
1977.691522018, 1.003667308,
1977.711954171, 1.004583108,
1977.732386523, 1.004368008,
1977.752818774, 1.004213290,
1977.773250925, 1.004447050,
1977.793683276, 1.003830371,
1977.814115526, 1.002980916,
1977.834547776, 1.003450243,
1977.854980025, 1.003710187,
1977.875412274, 1.004435005,
1977.895844522, 1.004168675,
1977.916276769, 1.003495211,
1977.936709017, 1.003628354,
1977.957141363, 1.004394047,
1977.977573510, 1.003872093,
1977.998005756, 1.004155111,
1978.018438101, 1.003807750,
1978.038870246, 1.004668806,
1978.059302491, 1.003833942,
1978.079734835, 1.004009234,
1978.100166978, 1.003761447,
1978.120599221, 1.004192050,
1978.141031564, 1.004240431,
1978.161463706, 1.004915772,
1978.181895948, 1.003512577,
1978.202328289, 1.004553642,
1978.222760430, 1.004105830,
1978.243192770, 1.003855936,
1978.263625010, 1.003999849,
1978.284057249, 1.003537584,
1978.304489488, 1.004432867,
1978.324921726, 1.005013601,
1978.345353965, 1.003965384,
1978.365786202, 1.003587352,
1978.386218439, 1.003551219,
1978.406650676, 1.004795625,
1978.427082912, 1.003952200,
1978.447515148, 1.004213190,
1978.467947383, 1.003931873,
1978.488379617, 1.004202893,
1978.508811852, 1.004296864,
1978.529243985, 1.004250364,
1978.590540684, 1.004135494,
1978.610973016, 1.003653358,
1978.631405248, 1.005291249,
1978.651837579, 1.006197228,
1978.672269709, 1.010958345,
1978.692701939, 1.007401357,
1978.713134269, 1.004888307,
1978.733566398, 1.003427054,
1978.753998627, 1.004216486,
1978.774430955, 1.003153854,
1978.794863183, 1.003474305,
1978.815295310, 1.003790763,
1978.835727637, 1.004505350,
1978.856159863, 1.004307181,
1978.876591989, 1.003772201,
1978.917456540, 1.003600199,
1978.937888664, 1.002796161,
1978.958320988, 1.003371454,
1978.978753212, 1.003841522,
1978.999185335, 1.002742410,
1979.019617658, 1.004065732,
1979.060482002, 1.003598413,
1979.080914323, 1.004539680,
1979.101346545, 1.003872446,
1979.121778865, 1.004483181,
1979.142210985, 1.004732224,
1979.162643204, 1.004019027,
1979.183075423, 1.003681736,
1979.203507642, 1.003867393,
1979.223939860, 1.004974890,
1979.244372078, 1.003644213,
1979.264804295, 1.004015235,
1979.285236512, 1.003722030,
1979.305668728, 1.003416055,
1979.326100944, 1.003323617,
1979.346533160, 1.003143232,
1979.366965474, 1.004073548,
1979.387397589, 1.004436877,
1979.407829803, 1.004579061,
1979.428262116, 1.003743232,
1979.448694230, 1.003387647,
1979.469126442, 1.004009932,
1979.489558754, 1.003129790,
1979.509990866, 1.004110219,
1979.530423078, 1.004054236,
1979.550855389, 1.004477518,
1979.571287499, 1.004468492,
1979.591719809, 1.004891612,
1979.612152018, 1.004506127,
1979.632584227, 1.004622009,
1979.653016436, 1.003385252,
1979.673448644, 1.003533539,
1979.693880852, 1.003148960,
1979.714313059, 1.004312839,
1979.734745265, 1.004396580,
1979.775609678, 1.003674561,
1979.796041883, 1.004668534,
1979.816474088, 1.003947374,
1979.836906393, 1.004538959,
1979.857338497, 1.004321739,
1979.877770700, 1.003822923,
1979.898202903, 1.003830972,
1979.918635106, 1.003577918,
1979.939067308, 1.003988269,
1979.959499510, 1.003756172,
1980.000363912, 1.003904451,
1980.020796113, 1.004011633,
1980.041228313, 1.003658282,
1980.061660612, 1.002663953,
1980.082092711, 1.004359475,
1980.102524910, 1.003697320,
1980.122957208, 1.003337508,
1980.143389306, 1.002962373,
1980.163821503, 1.003853182,
1980.184253800, 1.004594155,
1980.204685996, 1.003626647,
1980.225118092, 1.004237719,
1980.245550387, 1.003666278,
1980.265982582, 1.003568093,
1980.286414677, 1.003889582,
1980.306846971, 1.003927994,
1980.327279165, 1.004804414,
1980.347711258, 1.004229464,
1980.368143551, 1.005036063,
1980.388575743, 1.003515591,
1980.409007835, 1.002202974,
1980.429440126, 1.003272621,
1980.449872317, 1.003598661,
1980.470304508, 1.003615595,
1980.511168888, 1.003433603,
1980.531601177, 1.003906098,
1980.552033266, 1.003853134,
1980.572465454, 1.003649629,
1980.592897742, 1.003773342,
1980.613329829, 1.004514503,
1980.633762016, 1.004601737,
1980.654194303, 1.004059349,
1980.674626389, 1.004179734,
1980.695058575, 1.003013794,
1980.715490860, 1.002495233,
1980.735922944, 1.003614790,
1980.756355129, 1.003891169,
1980.776787413, 1.003863442,
1980.797219496, 1.004362143,
1980.817651679, 1.004537041,
1980.838083962, 1.003651596,
1980.858516044, 1.003413423,
1980.878948225, 1.003414986,
1980.899380507, 1.003630837,
1980.919812587, 1.003751540,
1980.940244767, 1.004091999,
1980.960677047, 1.003883719,
1980.981109127, 1.003164332,
1981.042405762, 1.002915474,
1981.062837940, 1.002727065,
1981.083270117, 1.004736483,
1981.103702294, 1.004191025,
1981.124134470, 1.004247461,
1981.144566646, 1.004163637,
1981.164998822, 1.003238132,
1981.185431096, 1.004165494,
1981.205863171, 1.003715099,
1981.226295345, 1.003442058,
1981.246727619, 1.003557845,
1981.267159692, 1.003659068,
1981.287591865, 1.003925441,
1981.308024137, 1.003779403,
1981.328456209, 1.004109551,
1981.348888381, 1.003980450,
1981.369320651, 1.004359057,
1981.389752722, 1.004037936,
1981.410184892, 1.003624330,
1981.430617062, 1.003775512,
1981.451049231, 1.002514945,
1981.471481500, 1.002886478,
1981.594074504, 1.003326278,
1981.614506669, 1.004104943,
1981.634938735, 1.004372568,
1981.655371000, 1.003397908,
1981.675803164, 1.003362590,
1981.696235228, 1.003336012,
1981.716667492, 1.003963292,
1981.737099655, 1.004274165,
1981.757531718, 1.002814947,
1981.777963980, 1.003876225,
1981.798396142, 1.002857018,
1981.818828203, 1.003094814,
1981.839260464, 1.003940039,
1981.859692625, 1.003469133,
1981.880124785, 1.003276557,
1981.900556944, 1.003748506,
1981.920989103, 1.003881425,
1981.941421362, 1.003880525,
1981.961853420, 1.003998812,
1981.982285578, 1.004187529,
1982.002717836, 1.003647106,
1982.023149993, 1.003943725,
1982.043582049, 1.003554593,
1982.064014305, 1.004213597,
1982.084446461, 1.004071217,
1982.104878516, 1.003067770,
1982.125310772, 1.003258097,
1982.145742826, 1.003231566,
1982.166174980, 1.003471485,
1982.186607233, 1.002612612,
1982.207039287, 1.003355979,
1982.227471439, 1.002928763,
1982.247903692, 1.003422156,
1982.268335743, 1.003896640,
1982.288767895, 1.003589643,
1982.309200146, 1.003635121,
1982.329632196, 1.003562131,
1982.350064346, 1.003736276,
1982.370496596, 1.003600972,
1982.390928745, 1.003060543,
1982.411360894, 1.003913033,
1982.431793042, 1.004313670,
1982.452225190, 1.004787516,
1982.472657338, 1.005379633,
1982.493089485, 1.007042760,
1982.513521631, 1.007111253,
1982.533953878, 1.006161509,
1982.554385924, 1.006239213,
1982.574818069, 1.006086874,
1982.595250314, 1.004855812,
1982.615682358, 1.004495108,
1982.656546746, 1.002971615,
1982.676978789, 1.002989721,
1982.697410932, 1.003450084,
1982.717843174, 1.003182068,
1982.738275216, 1.003796930,
1982.758707358, 1.003909466,
1982.779139599, 1.003143410,
1982.799571640, 1.002436370,
1982.820003780, 1.002898927,
1982.840436019, 1.003243396,
1982.860868159, 1.003416846,
1982.881300298, 1.003823007,
1982.901732436, 1.002628830,
1982.922164474, 1.003281889,
1982.942596712, 1.003552461,
1982.983460886, 1.002682046,
1983.003893123, 1.002461717,
1983.024325258, 1.003337361,
1983.044757294, 1.003064374,
1983.065189529, 1.003650655,
1983.085621664, 1.003346069,
1983.106053698, 1.003200175,
1983.126485932, 1.003263422,
1983.146918065, 1.003446255,
1983.167350098, 1.003239661,
1983.187782330, 1.003479677,
1983.208214463, 1.003360685,
1983.228646594, 1.003821461,
1983.249078726, 1.002992057,
1983.269510856, 1.003535806,
1983.289942987, 1.003671045,
1983.310375117, 1.002883997,
1983.330807246, 1.002971875,
1983.371671604, 1.003540166,
1983.392103633, 1.002910016,
1983.412535860, 1.003113217,
1983.432967988, 1.004109322,
1983.473832242, 1.003173644,
1983.494264368, 1.003163006,
1983.535128619, 1.003244467,
1983.555560744, 1.004150327,
1983.575992768, 1.003725722,
1983.596424992, 1.003353944,
1983.616857116, 1.003556688,
1983.637289139, 1.003942385,
1983.657721362, 1.003876348,
1983.678153384, 1.002821695,
1983.698585606, 1.002845173,
1983.719017728, 1.002659186,
1983.739449749, 1.003452195,
1983.759881870, 1.003518993,
1983.780314090, 1.003550398,
1983.800746210, 1.002769193,
1983.821178329, 1.003254030,
1983.841610449, 1.003100867,
1983.862042567, 1.002680030,
1983.882474785, 1.003038535,
1983.902906803, 1.002194355,
1983.923338920, 1.003864297,
1983.943771137, 1.003029741,
1983.964203154, 1.003809625,
1983.984635270, 1.003158184,
1984.005067485, 1.003117086,
1984.025499501, 1.002604773,
1984.045931616, 1.002985414,
1984.066363830, 1.003153537,
1984.086795844, 1.003589024,
1984.107227958, 1.002962331,
1984.127660171, 1.002945165,
1984.148092183, 1.002041133,
1984.168524296, 1.003005960,
1984.188956508, 1.003316070,
1984.209388620, 1.004932011,
1984.229820630, 1.003118591,
1984.250252841, 1.003326247,
1984.270684952, 1.003324040,
1984.291117062, 1.002676000,
1984.311549171, 1.003291909,
1984.331981280, 1.002575706,
1984.352413488, 1.002668438,
1984.372845496, 1.025460540,
1984.393277504, 1.003264098,
1984.413709712, 1.003253340,
1984.475006031, 1.003113156,
1984.495438137, 1.002793964,
1984.515870142, 1.003188844,
1984.536302347, 1.002758971,
1984.556734452, 1.003661654,
1984.577166456, 1.002403104,
1984.597598659, 1.002585930,
1984.618030763, 1.002591561,
1984.638462865, 1.002869778,
1984.658894968, 1.002603787,
1984.679327070, 1.002920179,
1984.699759171, 1.003306956,
1984.720191373, 1.002390923,
1984.740623373, 1.002883010,
1984.761055574, 1.003040837,
1984.781487673, 1.002827052,
1984.801919673, 1.002718921,
1984.822351872, 1.002742009,
1984.842783971, 1.003123736,
1984.863215969, 1.003340468,
1984.883648167, 1.003208629,
1984.904080265, 1.003030413,
1984.985808550, 1.003463771,
1985.006240746, 1.003158804,
1985.026672841, 1.003219934,
1985.047104935, 1.002718456,
1985.067537030, 1.002678180,
1985.087969123, 1.002673172,
1985.108401217, 1.003797811,
1985.128833310, 1.002489611,
1985.149265402, 1.002880208,
1985.169697394, 1.003134106,
1985.190129586, 1.002644909,
1985.210561677, 1.001671767,
1985.230993868, 1.002509914,
1985.251425859, 1.003647197,
1985.271857949, 1.002433028,
1985.292290139, 1.003011146,
1985.312722128, 1.003558832,
1985.333154217, 1.002923172,
1985.353586406, 1.003391860,
1985.374018393, 1.003317525,
1985.394450481, 1.002909385,
1985.455746742, 1.002770791,
1985.476178928, 1.002705974,
1985.496610914, 1.003661879,
1985.537475184, 1.003218350,
1985.557907268, 1.002310758,
1985.578339252, 1.002368615,
1985.598771436, 1.002675161,
1985.619203519, 1.002660424,
1985.639635502, 1.002787990,
1985.660067684, 1.001755819,
1985.680499766, 1.002715129,
1985.700931948, 1.002839975,
1985.721363929, 1.002549939,
1985.741796010, 1.003754979,
1985.762228190, 1.002291575,
