epoch,accuracy,loss,val_accuracy,val_loss
0,0.8471910357475281,0.691636323928833,0.9679109454154968,0.6905069947242737
1,0.9778090119361877,0.6886500716209412,0.9783890247344971,0.6873947978019714
2,0.9839887619018555,0.6853545308113098,0.9803536534309387,0.6838735342025757
3,0.9867977499961853,0.6815422177314758,0.9829731583595276,0.6797268390655518
4,0.9876404404640198,0.6769881248474121,0.984282910823822,0.6747175455093384
5,0.9898876547813416,0.6714244484901428,0.9855926632881165,0.6685330867767334
6,0.9910112619400024,0.6644917130470276,0.9855926632881165,0.6607639789581299
7,0.9912921190261841,0.6556856036186218,0.9855926632881165,0.6507949233055115
8,0.9915730357170105,0.6442530751228333,0.9869024157524109,0.6377073526382446
9,0.9918539524078369,0.6289570927619934,0.9882121682167053,0.6198890209197998
