################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Kepler barycentric Julian date     Corrected flux                                                   
# Day                                Relative
################################################################
    1977.2624576905727736       1.0010332281764593
    1977.2828899569212808       1.0006473471980653
    1977.3033221228033653       1.0005036875030286
    1977.3237539277906762       1.0005456195950841
    1977.3441857327779871       1.0005875516871396
    1977.3646190181170823       1.0006294837754461
    1977.3850512821300072       1.0005942045356981
    1977.4054835456845467       1.0005307422696066
    1977.4259158087734249       1.0004688558178128
    1977.4463481713901274       1.0007928645276731
    1977.4667803335469216       1.0007526137658986
    1977.4872126952395774       1.0006106922009397
    1977.5076449564585346       1.0003837494539130
    1977.5280771172183449       1.0004243701761966
    1977.5485094775140169       1.0004367429417735
    1977.5689417373359902       1.0001718662470971
    1977.5893738962331554       1.0001250453704853
    1977.6098062551318435       1.0001313663244960
    1977.6302385135568329       1.0004801205220633
    1977.6506706715226755       1.0004355001115421
    1977.6711030290243798       1.0004139448440581
    1977.6915352860523853       1.0003125472363232
    1977.7119674426212441       1.0003346433234412
    1977.7323997982603032       1.0002437672747719
    1977.7528320538913249       1.0004332270849174
    1977.7732642090631998       1.0004182486365867
    1977.7936965637709363       1.0003077017211948
    1977.8141288180049742       1.0002109205668488
    1977.8345610713149654       1.0007576274264334
    1977.8549933246249566       1.0007832773759213
    1977.8754255774620106       1.0008157782446712
    1977.8958578293750179       1.0004433774299530
    1977.9162900812880252       1.0004783899215772
    1977.9367223327280954       1.0005759829214198
    1977.9571546837105416       1.0003728502094176
    1977.9775868337601423       1.0001918334934126
    1977.9980190838032286       1.0001673546382142
    1978.0184514333886909       1.0001013742975775
    1978.0388835820413078       0.9997934557969601
    1978.0593158306874102       0.9999699401870648
    1978.0797481788758887       1.0004918678714101
    1978.1001803261315217       1.0004545213488614
    1978.1206125733806402       1.0003400087235781
    1978.1410449201721349       1.0001657171645582
    1978.1614770660307840       1.0002828034528408
    1978.1819093118829187       1.0004382453902652
    1978.2023416572774295       1.0002078468379034
    1978.2227738017390948       0.9999046570375867
    1978.2432061461950070       1.0000520298700388
    1978.2636383897261112       1.0002487908537658
    1978.2840706332499394       1.0003990611269951
    1978.3045028763153823       1.0001658182902857
    1978.3249351184495026       0.9999927435578987
    1978.3453673605836229       1.0001624002963840
    1978.3657996022448060       1.0002090427073846
    1978.3862318429819425       0.9999482432716367
    1978.4066636479692534       1.0000100231422344
    1978.4270963235176168       1.0000718030128319
    1978.4475285633234307       1.0000016958484375
    1978.4679603683107416       1.0001438210221365
    1978.4883930410651374       1.0002859461958356
    1978.5088252794739674       1.0002497532800705
    1978.5292574169507134       0.9993729850649088
    1978.5496892219380243       0.9996530691519098
    1978.5701210269253352       0.9999331532389107
    1978.5905541275133146       1.0002132373008703
    1978.6109864635873237       0.9999924910356460
    1978.6314186992021860       1.0000017152206999
    1978.6518510338792112       1.0001249641723451
    1978.6722831685619894       1.0000233593502847
    1978.6927154027798679       0.9997987311002923
    1978.7131477360599092       0.9997527470032974
    1978.7335798693457036       0.9996181013952862
    1978.7540121021665982       0.9996969594208444
    1978.7744444340496557       0.9997203753983848
    1978.7948766659392277       0.9995484476970097
    1978.8153087973623769       0.9994938969168418
    1978.8357411278484506       0.9998488059388583
    1978.8561733583410387       1.0001093302834378
    1978.8766054883672041       1.0001137530757844
    1978.8970372933545150       0.9997752731356928
    1978.9174700465518981       0.9994367931956012
    1978.9379021751810797       1.0000344887081296
    1978.9583345033388468       1.0003657653998113
    1978.9787667305718060       1.0001004992541018
    1978.9991988578040036       0.9998757536580548
    1979.0196311845647870       1.0001150963746077
    1979.0400629895520979       1.0002705305257806
    1979.0604955362359760       1.0004259646769538
    1979.0809278615997755       1.0004444399500201
    1979.1013600865044282       1.0003745408650622
    1979.1217924109441810       1.0002932960850963
    1979.1422245349094737       1.0002055703570667
    1979.1626567584171426       1.0004361230526424
    1979.1830889814591501       1.0002302323396983
    1979.2035212035625591       0.9995460110046440
    1979.2239534256732441       0.9994247606189106
    1979.2443856473182677       0.9997703117565909
    1979.2648178684903542       0.9997592216191584
    1979.2852500892040553       0.9996842335682486
    1979.3056818941913662       0.9997572797136240
    1979.3261145292271976       0.9998303258589993
    1979.3465467485439149       1.0001986496269044
    1979.3669790673957323       0.9998928524268975
    1979.3874111857730895       0.9997044045758972
    1979.4078434036928229       0.9998160312783559
    1979.4282757211476564       0.9998456118871490
    1979.4487078381280298       1.0001734554123720
    1979.4691400546507793       0.9999778845942771
    1979.4895723707013531       1.0000853854253930
    1979.5100044867576798       1.0002534853857064
    1979.5304367018834455       1.0002965664958141
    1979.5508690165443113       1.0001198471348902
    1979.5713011307307170       0.9998481835132549
    1979.5917334444602602       1.0000886798943145
    1979.6121656577161048       1.0005018481691159
    1979.6325978709792253       1.0002393334007995
    1979.6530300833110232       1.0000537911785865
    1979.6734622951771598       1.0001895275326762
    1979.6938945070360205       1.0003876608060367
    1979.7143267179708346       1.0003312453601838
    1979.7347589284327114       1.0002840641079356
    1979.7551907334200223       0.9999887863899474
    1979.7756233484396944       0.9996935086719592
    1979.7960555575118633       0.9997059608346972
    1979.8164877665767563       0.9998400166550998
    1979.8369200747183640       0.9997985176342148
    1979.8573521828511730       0.9995454199805859
    1979.8777843900606968       0.9995222722865208
    1979.8982165972702205       0.9996579062015190
    1979.9186488040140830       0.9997469213749728
    1979.9390810098193469       0.9998772241333295
    1979.9595132156318869       0.9998210933393935
    1979.9799454209714895       0.9999686852602021
    1980.0003776253870456       0.9998312293257448
    1980.0208098298026016       0.9999357976017776
