################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Frequency            Power density                                                   
# MicroHertz           Parts per million squared per microHertz
################################################################
5.0301782E+00          2.2043935E+03
5.0590872E+00          2.3323114E+03
5.0879963E+00          1.4118796E+03
5.1169054E+00          3.3058579E+02
5.1458145E+00          6.4260556E+01
5.1747235E+00          5.7832720E+02
5.2036326E+00          1.0512977E+03
5.2325417E+00          9.3519697E+02
5.2614507E+00          5.2412528E+02
5.2903598E+00          4.4367493E+02
5.3192689E+00          7.7237480E+02
5.3481779E+00          1.0378825E+03
5.3770870E+00          1.0207177E+03
5.4059961E+00          1.1404305E+03
5.4349052E+00          1.8411653E+03
5.4638142E+00          2.8386085E+03
5.4927233E+00          3.2842512E+03
5.5216324E+00          2.6955924E+03
5.5505414E+00          1.5913928E+03
5.5794505E+00          9.7855629E+02
5.6083596E+00          1.2430747E+03
5.6372686E+00          1.8288204E+03
5.6661777E+00          1.9469725E+03
5.6950868E+00          1.3965353E+03
5.7239959E+00          6.3455359E+02
5.7529049E+00          1.8177510E+02
5.7818140E+00          2.4567270E+02
5.8107231E+00          8.5793006E+02
5.8396321E+00          1.9982624E+03
5.8685412E+00          3.3551031E+03
5.8974503E+00          4.1373584E+03
5.9263593E+00          3.6248394E+03
5.9552684E+00          2.0640835E+03
5.9841775E+00          7.1815253E+02
6.0130866E+00          8.3255151E+02
6.0419956E+00          2.4428494E+03
6.0709047E+00          4.2491842E+03
6.0998138E+00          4.8800017E+03
6.1287228E+00          4.1335329E+03
6.1576319E+00          2.8260843E+03
6.1865410E+00          1.7716037E+03
6.2154500E+00          1.1933484E+03
6.2443591E+00          1.0284664E+03
6.2732682E+00          1.4324790E+03
6.3021773E+00          2.5548647E+03
6.3310863E+00          3.8892983E+03
6.3599954E+00          4.3786342E+03
6.3889045E+00          3.5062065E+03
6.4178135E+00          2.0837432E+03
6.4467226E+00          1.5563182E+03
6.4756317E+00          2.4577400E+03
6.5045407E+00          3.7183391E+03
6.5334498E+00          3.7330590E+03
6.5623589E+00          2.1922668E+03
6.5912680E+00          4.7684798E+02
6.6201770E+00          6.3671991E+01
6.6490861E+00          9.0072557E+02
6.6779952E+00          1.6167423E+03
6.7069042E+00          1.2313068E+03
6.7358133E+00          3.0739105E+02
6.7647224E+00          2.1841868E+02
6.7936314E+00          1.4730526E+03
6.8225405E+00          3.0653621E+03
6.8514496E+00          3.5823130E+03
6.8803587E+00          2.6732225E+03
6.9092677E+00          1.2072446E+03
6.9381768E+00          2.2322834E+02
6.9670859E+00          7.8169435E+00
6.9959949E+00          2.2518639E+02
7.0249040E+00          6.2178355E+02
7.0538131E+00          1.2138751E+03
7.0827221E+00          1.8814921E+03
7.1116312E+00          2.1838519E+03
7.1405403E+00          1.8672013E+03
7.1694494E+00          1.4375148E+03
7.1983584E+00          1.8244455E+03
7.2272675E+00          3.3360580E+03
7.2561766E+00          5.0570481E+03
7.2850856E+00          5.5414166E+03
7.3139947E+00          4.2633744E+03
7.3429038E+00          2.1221180E+03
7.3718128E+00          4.9711422E+02
7.4007219E+00          5.0954238E+01
7.4296310E+00          3.8312228E+02
7.4585401E+00          7.4809780E+02
7.4874491E+00          9.0378438E+02
7.5163582E+00          1.0826332E+03
7.5452673E+00          1.4299100E+03
7.5741763E+00          1.7173335E+03
7.6030854E+00          1.6730784E+03
7.6319945E+00          1.4919918E+03
7.6609035E+00          1.6891025E+03
7.6898126E+00          2.4972903E+03
7.7187217E+00          3.5528482E+03
7.7476308E+00          4.1094234E+03
7.7765398E+00          3.6887028E+03
7.8054489E+00          2.4917764E+03
