BJD - 2454833, Corrected Flux
1977.262460840, 1.002302080,
1977.282893108, 1.002757063,
1977.303325275, 1.002858345,
1977.364622175, 1.002178007,
1977.385054441, 1.002185098,
1977.405486706, 1.002283558,
1977.425918970, 1.002367130,
1977.446351334, 1.002155512,
1977.466783498, 1.002007037,
1977.487215861, 1.002452598,
1977.507648124, 1.002277870,
1977.528080286, 1.002383638,
1977.548512648, 1.002111384,
1977.568944909, 1.002297544,
1977.589377070, 1.002133132,
1977.609809430, 1.002053521,
1977.630241690, 1.002286407,
1977.650673850, 1.002091724,
1977.671106209, 1.002123940,
1977.691538467, 1.001978834,
1977.711970625, 1.002076743,
1977.732402982, 1.002158365,
1977.752835239, 1.002032621,
1977.773267397, 1.002183850,
1977.793699752, 1.002028121,
1977.814132008, 1.002142090,
1977.834564263, 1.002207058,
1977.854996518, 1.002192058,
1977.875428772, 1.002196998,
1977.895861026, 1.002126789,
1977.916293279, 1.002070385,
1977.957157884, 1.002024147,
1977.977590036, 1.002093760,
1977.998022288, 1.002152992,
1978.018454639, 1.001887835,
1978.038886789, 1.001989668,
1978.059319039, 1.002161304,
1978.079751389, 1.002229589,
1978.100183538, 1.002122329,
1978.120615786, 1.002058177,
1978.141048134, 1.002121768,
1978.161480282, 1.002003633,
1978.181912529, 1.002047994,
1978.202344876, 1.001833653,
1978.222777022, 1.001989636,
1978.243209368, 1.001925192,
1978.284073858, 1.001776385,
1978.304506102, 1.001867778,
1978.324938346, 1.002051945,
1978.345370590, 1.002104003,
1978.365802833, 1.002061712,
1978.386235076, 1.001967396,
1978.406667317, 1.002121425,
1978.427099559, 1.001977069,
1978.447531800, 1.001997902,
1978.467964041, 1.001873621,
1978.488396281, 1.002001877,
1978.508828521, 1.001845540,
1978.529260660, 1.001961851,
1978.590557375, 1.002107103,
1978.610989713, 1.001865228,
1978.631421950, 1.002020281,
1978.651854286, 1.002096872,
1978.672286422, 1.002130310,
1978.692718657, 1.001984001,
1978.713150992, 1.001893339,
1978.733583127, 1.001960796,
1978.774447695, 1.002081018,
1978.794879928, 1.002115238,
1978.815312061, 1.002097515,
1978.835744393, 1.001938390,
1978.856176625, 1.001855580,
1978.876608756, 1.001979743,
1978.917473318, 1.002172487,
1978.937905448, 1.002198279,
1978.958337777, 1.001928475,
1978.978770006, 1.002008836,
1978.999202135, 1.001957355,
1979.019634463, 1.001887017,
1979.060498818, 1.001921080,
1979.080931145, 1.001980376,
1979.101363371, 1.001943425,
1979.121795697, 1.001971874,
1979.142227822, 1.001902213,
1979.162660047, 1.001950057,
1979.183092272, 1.001985274,
1979.203524496, 1.001922898,
1979.223956719, 1.002082132,
1979.244388942, 1.001943395,
1979.264821165, 1.001989104,
1979.285253387, 1.001888830,
1979.305685609, 1.001839857,
1979.326117830, 1.001966337,
1979.346550051, 1.001856757,
1979.366982371, 1.001945273,
1979.387414491, 1.002046194,
1979.407846710, 1.001956506,
1979.428279030, 1.001931942,
1979.448711148, 1.001903146,
1979.469143366, 1.001920540,
1979.489575683, 1.001935092,
1979.510007801, 1.001936758,
1979.530440017, 1.001923297,
1979.550872333, 1.002222518,
1979.571304449, 1.002020191,
1979.591736765, 1.002019775,
1979.612168979, 1.001978802,
1979.632601194, 1.002033991,
1979.653033408, 1.001891379,
1979.673465621, 1.001939741,
1979.693897834, 1.001928441,
1979.714330047, 1.001988093,
1979.734762259, 1.001902746,
1979.775626682, 1.001958437,
1979.796058893, 1.001988802,
1979.816491103, 1.002016245,
1979.836923413, 1.002041473,
1979.857355522, 1.001882998,
1979.877787731, 1.002012040,
1979.918652147, 1.002085479,
1979.939084355, 1.002024482,
1979.959516562, 1.001828026,
1979.979948769, 1.002020272,
1980.000380975, 1.001944376,
1980.020813181, 1.001939331,
1980.041245386, 1.001959509,
1980.061677691, 1.002246994,
1980.082109795, 1.001911753,
1980.102541999, 1.002061459,
1980.143406406, 1.001890809,
1980.163838608, 1.001960876,
1980.184270910, 1.001911744,
1980.204703112, 1.001927216,
1980.225135214, 1.001824578,
1980.245567514, 1.001863682,
1980.265999715, 1.002075324,
1980.286431814, 1.002088388,
1980.306864114, 1.002065340,
1980.327296313, 1.001800463,
1980.347728411, 1.002000642,
1980.368160710, 1.003382212,
1980.388592907, 1.002047975,
1980.409025004, 1.001936760,
1980.429457301, 1.001878959,
1980.449889497, 1.001859533,
1980.470321693, 1.002014024,
1980.490753889, 1.002049138,
1980.511186083, 1.001940459,
1980.531618378, 1.002065787,
1980.552050472, 1.001900225,
1980.572482665, 1.002041867,
1980.592914959, 1.002123830,
1980.613347051, 1.002031885,
1980.633779244, 1.002014819,
1980.654211535, 1.001858716,
1980.674643627, 1.001869572,
1980.695075818, 1.001969898,
1980.715508108, 1.001940314,
1980.735940198, 1.002115701,
1980.756372388, 1.001979234,
1980.776804677, 1.002059914,
1980.797236765, 1.002088498,
1980.817668953, 1.001843648,
1980.838101241, 1.001978448,
1980.858533329, 1.001852337,
1980.878965515, 1.002155893,
1980.899397802, 1.001988701,
1980.919829888, 1.002064451,
1980.940262073, 1.002005275,
1980.960694359, 1.002104541,
1980.981126443, 1.001979429,
1981.042423094, 1.001815286,
1981.062855277, 1.001981720,
1981.083287460, 1.001974191,
1981.103719642, 1.002034334,
1981.124151823, 1.002043329,
1981.144584004, 1.001927111,
1981.165016185, 1.001822172,
1981.185448465, 1.002130809,
1981.205880545, 1.001796931,
1981.226312724, 1.001828273,
1981.246745003, 1.001775889,
1981.267177082, 1.001921786,
1981.287609259, 1.001957604,
1981.308041537, 1.001813909,
1981.328473614, 1.001876907,
1981.348905791, 1.001975381,
1981.369338067, 1.001813237,
1981.389770143, 1.001988272,
1981.410202318, 1.001986656,
1981.430634493, 1.002008837,
1981.451066667, 1.002060312,
1981.471498942, 1.002005504,
1981.594091977, 1.001937739,
1981.614524148, 1.001893272,
1981.634956218, 1.001877657,
1981.655388488, 1.001817896,
1981.675820657, 1.001718670,
1981.696252727, 1.001698817,
1981.716684996, 1.001881631,
1981.737117164, 1.001771164,
1981.757549232, 1.001819825,
1981.777981499, 1.001922493,
1981.798413666, 1.001884063,
1981.818845733, 1.001852250,
1981.839277998, 1.001768755,
1981.859710164, 1.001886538,
1981.880142330, 1.001997543,
1981.900574494, 1.001900279,
1981.921006659, 1.002223002,
1981.941438923, 1.001949129,
1981.961870986, 1.001936737,
1981.982303149, 1.001869193,
1982.002735412, 1.001912385,
1982.023167574, 1.001816847,
1982.043599636, 1.001726678,
1982.064031897, 1.002030522,
1982.084464058, 1.002001617,
1982.104896118, 1.001841770,
1982.125328378, 1.002160968,
1982.145760438, 1.002037592,
1982.166192597, 1.001996420,
1982.186624855, 1.001865819,
1982.207056914, 1.001896234,
1982.227489072, 1.001850550,
1982.247921329, 1.001861801,
1982.268353386, 1.001908609,
1982.288785542, 1.002062764,
1982.309217798, 1.001947587,
1982.329649854, 1.001986379,
1982.350082009, 1.001957794,
1982.370514264, 1.001954131,
1982.390946419, 1.001860413,
1982.411378572, 1.001907055,
1982.431810726, 1.001909870,
1982.452242879, 1.001870582,
1982.472675031, 1.001859227,
1982.513539335, 1.001996948,
1982.533971587, 1.002108524,
1982.554403638, 1.001954470,
1982.574835788, 1.002119220,
1982.595268038, 1.002069330,
1982.615700088, 1.002012931,
1982.636132237, 1.001948836,
1982.656564485, 1.001948121,
1982.676996534, 1.002140511,
1982.697428681, 1.002089683,
1982.717860929, 1.002032411,
1982.738292976, 1.002001791,
1982.758725122, 1.002099724,
1982.779157369, 1.002172525,
1982.799589414, 1.002038100,
1982.820021560, 1.002479783,
1982.840453804, 1.001952758,
1982.860885949, 1.002133652,
1982.881318093, 1.002140070,
1982.901750237, 1.001992007,
1982.922182280, 1.002160486,
1982.942614522, 1.002103261,
1982.983478706, 1.002061194,
1983.003910948, 1.002066850,
1983.024343089, 1.002116922,
1983.044775129, 1.002058635,
1983.065207369, 1.002200495,
1983.085639509, 1.001915829,
1983.106071548, 1.002066555,
1983.126503787, 1.001999707,
1983.146935926, 1.001723367,
1983.167367964, 1.002101152,
1983.187800201, 1.002082142,
1983.208232338, 1.002048017,
1983.228664475, 1.002084935,
1983.249096611, 1.002068841,
1983.269528747, 1.001891854,
1983.289960883, 1.002131540,
1983.310393018, 1.001867586,
1983.330825152, 1.002055886,
1983.351257386, 1.001972854,
1983.371689520, 1.001771645,
1983.392121554, 1.001980066,
1983.412553786, 1.001955238,
1983.432985919, 1.002070988,
1983.473850183, 1.002049899,
1983.494282313, 1.002055087,
1983.514714344, 1.001971103,
1983.535146575, 1.001999364,
1983.555578705, 1.001975377,
1983.576010734, 1.001808840,
1983.596442963, 1.002038755,
1983.616875092, 1.001973826,
1983.637307120, 1.001891937,
1983.657739348, 1.001850224,
1983.678171375, 1.002113126,
1983.698603602, 1.001904549,
1983.719035729, 1.001969572,
1983.739467755, 1.002004462,
1983.759899880, 1.001931000,
1983.780332106, 1.001790118,
1983.800764230, 1.002006294,
1983.821196355, 1.001911988,
1983.841628479, 1.001906618,
1983.862060602, 1.001788442,
1983.882492826, 1.001963009,
1983.902924848, 1.001819480,
1983.923356971, 1.001818950,
1983.964221214, 1.001854532,
1983.984653335, 1.001939002,
1984.005085556, 1.001953110,
1984.025517576, 1.001963740,
1984.045949696, 1.001942547,
1984.066381915, 1.001969700,
1984.086813934, 1.002019201,
1984.107246053, 1.002041063,
1984.127678271, 1.001952771,
1984.148110288, 1.001901733,
1984.168542406, 1.002059341,
1984.188974623, 1.001854961,
1984.209406739, 1.001741411,
1984.229838755, 1.002045644,
1984.250270971, 1.002054009,
1984.270703086, 1.001994140,
1984.291135201, 1.002198749,
1984.311567315, 1.002012379,
1984.331999429, 1.002157654,
1984.352431643, 1.001911811,
1984.372863656, 1.002014826,
1984.393295668, 1.002035421,
1984.413727881, 1.002023816,
1984.475024215, 1.001999714,
1984.495456325, 1.002077112,
1984.515888336, 1.002020811,
1984.536320546, 1.001985124,
1984.556752655, 1.001922535,
1984.577184664, 1.001896129,
1984.597616872, 1.002362889,
1984.618048980, 1.001983089,
1984.638481088, 1.001987334,
1984.658913196, 1.001808669,
1984.679345302, 1.001905593,
1984.699777409, 1.001960678,
1984.720209615, 1.001857516,
1984.740641620, 1.001839507,
1984.781505931, 1.002101912,
1984.801937935, 1.001973992,
1984.822370139, 1.001872355,
1984.842802242, 1.002019762,
1984.863234245, 1.002093363,
1984.883666448, 1.001885927,
1984.904098550, 1.001980844,
1984.985826856, 1.001969543,
1985.006259056, 1.001770832,
1985.026691156, 1.001838335,
1985.047123255, 1.001670486,
1985.067555354, 1.001893100,
1985.087987453, 1.001906659,
1985.108419551, 1.001920121,
1985.128851649, 1.001837884,
1985.149283746, 1.002040200,
1985.169715743, 1.002115404,
1985.190147940, 1.001969625,
1985.210580036, 1.001917470,
1985.231012232, 1.002014863,
1985.251444227, 1.002034018,
1985.271876322, 1.002008325,
1985.292308517, 1.001904918,
1985.312740511, 1.001984797,
1985.333172605, 1.001838182,
1985.353604798, 1.001939681,
