BJD - 2454833, Corrected Flux
1977.262456404, 1.006710240,
1977.282888670, 1.007209634,
1977.303320836, 1.006367431,
1977.364617731, 1.006777721,
1977.385049995, 1.006813449,
1977.405482259, 1.005854505,
1977.425914522, 1.006698436,
1977.446346884, 1.006077764,
1977.466779046, 1.006836562,
1977.487211408, 1.006342035,
1977.507643669, 1.006204631,
1977.528075830, 1.007041581,
1977.548508190, 1.006341072,
1977.568940450, 1.006004233,
1977.589372610, 1.006571607,
1977.609804968, 1.007304452,
1977.630237226, 1.007129148,
1977.650669384, 1.006797787,
1977.671101742, 1.008238146,
1977.691533999, 1.006888877,
1977.711966156, 1.007551604,
1977.732398511, 1.007110052,
1977.752830767, 1.007782547,
1977.773262922, 1.006945710,
1977.793695277, 1.007455983,
1977.814127530, 1.007447969,
1977.834559784, 1.007572950,
1977.854992038, 1.007528559,
1977.875424290, 1.007283231,
1977.895856542, 1.007181981,
1977.916288794, 1.007327339,
1977.936721046, 1.007357786,
1977.957153396, 1.008460732,
1977.977585547, 1.007111001,
1977.998017797, 1.007402885,
1978.018450146, 1.008213843,
1978.038882295, 1.006945599,
1978.059314544, 1.007254274,
1978.079746891, 1.007278511,
1978.100179039, 1.008012856,
1978.120611286, 1.007586858,
1978.141043633, 1.007494537,
1978.161475779, 1.007252505,
1978.181908025, 1.007346530,
1978.202340370, 1.007508470,
1978.222772515, 1.007169852,
1978.243204859, 1.006937096,
1978.263637103, 1.008004195,
1978.284069346, 1.006826545,
1978.304501589, 1.007386093,
1978.324933831, 1.007860328,
1978.345366073, 1.007457837,
1978.365798315, 1.007367000,
1978.386230556, 1.007050445,
1978.406662796, 1.007997956,
1978.427095036, 1.006964802,
1978.447527276, 1.007617549,
1978.467959515, 1.007665438,
1978.488391754, 1.007213521,
1978.508823992, 1.007379829,
1978.529256130, 1.007136088,
1978.590552840, 1.007349396,
1978.610985176, 1.007199596,
1978.631417412, 1.007491179,
1978.651849747, 1.006707481,
1978.672281881, 1.006795786,
1978.692714115, 1.007385317,
1978.713146449, 1.006959134,
1978.733578582, 1.007495582,
1978.754010815, 1.007494066,
1978.774443147, 1.008497426,
1978.794875379, 1.010119244,
1978.815307510, 1.010275449,
1978.835739841, 1.009138521,
1978.856172071, 1.007623431,
1978.876604201, 1.007151749,
1978.917468759, 1.006499112,
1978.937900888, 1.007726117,
1978.958333216, 1.006626843,
1978.978765443, 1.007239336,
1978.999197571, 1.008021910,
1979.019629897, 1.006697417,
1979.080926575, 1.007169064,
1979.101358799, 1.007772723,
1979.121791124, 1.007735172,
1979.142223247, 1.007613799,
1979.162655471, 1.007650912,
1979.183087694, 1.007275609,
1979.203519916, 1.006873362,
1979.223952139, 1.008434057,
1979.244384360, 1.007187355,
1979.264816581, 1.007765758,
1979.285248802, 1.007874946,
1979.305681022, 1.007393640,
1979.346545461, 1.007332234,
1979.366977780, 1.008008284,
1979.387409899, 1.007643529,
1979.407842117, 1.007472348,
1979.428274434, 1.007162647,
1979.448706551, 1.006694682,
1979.489571084, 1.007512473,
1979.510003199, 1.007636931,
1979.530435415, 1.007505820,
1979.550867729, 1.007333273,
1979.571299844, 1.007327509,
1979.591732157, 1.007661423,
1979.612164371, 1.007784188,
1979.632596584, 1.007627311,
1979.653028796, 1.007351478,
1979.673461008, 1.006943211,
1979.693893220, 1.007540764,
1979.714325431, 1.007394094,
1979.734757641, 1.007274509,
1979.775622061, 1.007196442,
1979.796054271, 1.006520088,
1979.816486479, 1.007399611,
1979.836918788, 1.006734966,
1979.857350896, 1.008101992,
1979.877783103, 1.007916241,
1979.898215310, 1.007004865,
1979.918647517, 1.007650079,
1979.939079723, 1.008153616,
1979.959511929, 1.006823124,
1979.979944134, 1.007719636,
1980.000376339, 1.007819910,
1980.020808543, 1.007182821,
1980.041240747, 1.007907868,
1980.061673050, 1.006903748,
1980.082105153, 1.007045144,
1980.102537355, 1.007593585,
1980.122969657, 1.007039455,
1980.143401759, 1.007679860,
1980.163833960, 1.006902077,
1980.184266261, 1.007566667,
1980.204698461, 1.007171680,
1980.225130561, 1.007427996,
1980.245562860, 1.007212807,
1980.265995059, 1.006907237,
1980.286427158, 1.007095183,
1980.306859456, 1.007898109,
1980.327291653, 1.006807380,
1980.368156046, 1.007064044,
1980.388588243, 1.008038384,
1980.409020339, 1.009837194,
1980.429452634, 1.011590329,
1980.470317023, 1.010256723,
1980.490749217, 1.008105859,
1980.511181410, 1.008064594,
1980.531613704, 1.006653697,
1980.552045796, 1.006821783,
1980.572477988, 1.007412760,
1980.592910280, 1.006752036,
1980.613342371, 1.007685976,
1980.633774562, 1.007348651,
1980.654206852, 1.006580517,
1980.695071132, 1.007294235,
1980.715503421, 1.006894570,
1980.735935509, 1.007470767,
1980.756367698, 1.007965619,
1980.776799985, 1.008344607,
1980.797232072, 1.007313711,
1980.817664259, 1.007588777,
1980.838096545, 1.009638831,
1980.878960816, 1.007413349,
1980.899393102, 1.008079130,
1980.919825186, 1.007357756,
1980.940257370, 1.007335234,
1980.960689654, 1.006547266,
1980.981121737, 1.007171539,
1981.042418384, 1.007648911,
1981.062850566, 1.007709048,
1981.083282746, 1.007103883,
1981.103714927, 1.007168787,
1981.124147107, 1.007446468,
1981.144579287, 1.007808345,
1981.165011466, 1.007936596,
1981.185443745, 1.006824848,
1981.205875823, 1.007119721,
1981.226308001, 1.007319075,
1981.246740279, 1.007746275,
1981.267172356, 1.007466435,
1981.287604532, 1.007146575,
1981.308036808, 1.006880342,
1981.328468884, 1.006624012,
1981.348901059, 1.007829236,
1981.369333334, 1.006855012,
1981.389765408, 1.006907628,
1981.410197582, 1.007166529,
1981.430629756, 1.006686275,
1981.451061928, 1.008303159,
1981.471494201, 1.008805362,
1981.594087228, 1.008270166,
1981.614519397, 1.006504647,
1981.634951466, 1.006404346,
1981.655383735, 1.007511172,
1981.675815903, 1.007354575,
1981.696247971, 1.006873908,
1981.716680238, 1.006703724,
1981.737112405, 1.006949259,
1981.757544472, 1.006935599,
1981.777976737, 1.007913422,
1981.798408903, 1.008061842,
1981.818840968, 1.007326675,
1981.839273233, 1.006403754,
1981.859705397, 1.007245523,
1981.880137561, 1.007750813,
1981.900569724, 1.006914889,
1981.921001887, 1.006172131,
1981.941434150, 1.006626810,
1981.961866212, 1.006444624,
1981.982298374, 1.006596117,
1982.002730635, 1.007835737,
1982.023162795, 1.006518672,
1982.043594856, 1.007414384,
1982.064027116, 1.007054731,
1982.084459275, 1.007478772,
1982.104891334, 1.007031537,
1982.125323593, 1.007997011,
1982.145755651, 1.007348147,
1982.166187808, 1.007080127,
1982.186620066, 1.007091558,
1982.207052123, 1.006856885,
1982.227484279, 1.007112384,
1982.247916535, 1.007306597,
1982.268348591, 1.007348838,
1982.288780746, 1.006998243,
1982.309213000, 1.007105440,
1982.350077208, 1.006899643,
1982.370509462, 1.006901730,
1982.390941615, 1.007560575,
1982.411373767, 1.007461640,
1982.431805919, 1.006270290,
1982.452238071, 1.007408473,
1982.472670222, 1.006599661,
1982.493102373, 1.007126061,
1982.513534523, 1.007545739,
1982.533966773, 1.007253230,
1982.554398823, 1.006015605,
1982.574830972, 1.007643155,
1982.595263220, 1.007076148,
1982.615695268, 1.006358780,
1982.636127416, 1.006467441,
1982.656559663, 1.006938956,
