BJD - 2454833, Corrected Flux
1977.262449816, 1.001411897,
1977.282882079, 1.001695130,
1977.303314243, 1.001476620,
1977.364611130, 1.001664238,
1977.385043391, 1.001816415,
1977.405475652, 1.001684121,
1977.425907913, 1.002015711,
1977.446340272, 1.002007115,
1977.466772432, 1.002254910,
1977.487204791, 1.001837288,
1977.528069207, 1.002413394,
1977.548501565, 1.002101138,
1977.568933822, 1.002381974,
1977.589365979, 1.002476473,
1977.609798335, 1.002423874,
1977.630230591, 1.002635575,
1977.650662746, 1.002703258,
1977.671095101, 1.002677948,
1977.691527355, 1.002446154,
1977.711959509, 1.002927243,
1977.732391862, 1.002671028,
1977.752824115, 1.002814125,
1977.773256268, 1.003025346,
1977.793688620, 1.003180029,
1977.814120871, 1.003158870,
1977.834553122, 1.003004352,
1977.854985373, 1.003104901,
1977.875417623, 1.003284869,
1977.895849873, 1.002779527,
1977.916282122, 1.002884728,
1977.936714370, 1.003064815,
1977.957146719, 1.003312087,
1977.977578866, 1.003634018,
1977.998011114, 1.003333894,
1978.018443460, 1.003721228,
1978.038875607, 1.003152937,
1978.059307853, 1.003296044,
1978.079740198, 1.003336735,
1978.100172343, 1.003551485,
1978.120604587, 1.003946134,
1978.141036931, 1.003687774,
1978.161469075, 1.003994908,
1978.181901318, 1.004002565,
1978.202333660, 1.003667154,
1978.222765803, 1.003627254,
1978.243198144, 1.004030558,
1978.263630385, 1.004364489,
1978.284062626, 1.004112889,
1978.304494866, 1.004446665,
1978.324927106, 1.004279849,
1978.345359346, 1.004145323,
1978.365791584, 1.004082226,
1978.386223823, 1.004477351,
1978.406656061, 1.004326603,
1978.427088298, 1.004544511,
1978.447520535, 1.004441199,
1978.467952772, 1.005008593,
1978.488385008, 1.004653438,
1978.508817244, 1.004660468,
1978.529249379, 1.004745240,
1978.590546081, 1.004773740,
1978.610978415, 1.004437338,
1978.631410647, 1.004595049,
1978.651842980, 1.004461271,
1978.672275112, 1.004699007,
1978.692707343, 1.004782005,
1978.713139674, 1.004735900,
1978.733571805, 1.004964019,
1978.754004035, 1.005357017,
1978.774436364, 1.005201744,
1978.794868594, 1.005247822,
1978.815300722, 1.005733586,
1978.835733050, 1.005527217,
1978.856165278, 1.005448269,
1978.876597405, 1.005502507,
1978.917461958, 1.005493708,
1978.937894085, 1.005387613,
1978.958326410, 1.005308279,
1978.978758635, 1.005390401,
1978.999190759, 1.005913758,
1979.019623083, 1.005721849,
1979.060487430, 1.006254070,
1979.080919753, 1.006542992,
1979.101351975, 1.006252421,
1979.121784297, 1.005795110,
1979.142216418, 1.006454260,
1979.162648639, 1.006358326,
1979.183080859, 1.006361556,
1979.203513080, 1.006209855,
1979.223945299, 1.006263342,
1979.244377518, 1.006170111,
1979.264809737, 1.006107370,
1979.285241955, 1.006408153,
1979.305674172, 1.005858016,
1979.326106389, 1.005843136,
1979.346538606, 1.006321012,
1979.366970923, 1.006763382,
1979.387403039, 1.006561363,
1979.407835254, 1.006841891,
1979.428267569, 1.006905475,
1979.448699683, 1.006788826,
1979.469131897, 1.006609503,
1979.489564210, 1.006464048,
1979.509996324, 1.008227175,
1979.530428537, 1.007318168,
1979.550860848, 1.006635503,
1979.571292960, 1.006780018,
1979.591725272, 1.006908332,
1979.612157482, 1.007112747,
1979.632589693, 1.006470801,
1979.653021903, 1.006794941,
1979.673454112, 1.006805723,
1979.693886321, 1.007074355,
1979.714318529, 1.007362358,
1979.734750737, 1.007157372,
1979.775615152, 1.007316609,
1979.796047359, 1.007303895,
1979.816479565, 1.006915439,
1979.836911871, 1.007194811,
1979.857343977, 1.007450045,
1979.877776181, 1.007231039,
1979.898208386, 1.007337652,
1979.918640590, 1.007403882,
1979.939072793, 1.007309538,
1979.959504996, 1.007424887,
1979.979937199, 1.007447396,
1980.000369401, 1.007545476,
1980.020801603, 1.007596906,
1980.041233804, 1.007794703,
1980.061666105, 1.007926492,
1980.082098205, 1.007481683,
1980.102530405, 1.007362725,
1980.122962705, 1.007420375,
1980.143394804, 1.007643679,
1980.163827003, 1.007666177,
1980.184259301, 1.007975882,
1980.204691498, 1.007808903,
1980.225123595, 1.007537116,
1980.245555892, 1.007954722,
1980.265988089, 1.008159600,
1980.286420184, 1.007818772,
1980.306852480, 1.007706798,
1980.327284675, 1.007836757,
1980.347716769, 1.007857063,
1980.368149063, 1.008004952,
1980.388581257, 1.008001364,
1980.409013350, 1.007736443,
1980.429445643, 1.008095932,
1980.449877835, 1.007621996,
1980.470310027, 1.007942437,
1980.490742219, 1.008180298,
1980.511174410, 1.008104233,
1980.531606700, 1.008263000,
1980.552038790, 1.007669824,
1980.572470980, 1.008241480,
1980.592903269, 1.007862249,
1980.613335358, 1.008005173,
1980.633767546, 1.007657020,
1980.654199834, 1.008000701,
1980.674631921, 1.007512393,
1980.695064108, 1.008045999,
1980.715496394, 1.008096771,
1980.735928480, 1.008641720,
1980.756360666, 1.007914545,
1980.776792951, 1.007651951,
1980.797225036, 1.008543189,
1980.817657220, 1.008762435,
1980.838089504, 1.007957783,
1980.858521587, 1.008222883,
1980.878953770, 1.008248620,
1980.899386053, 1.007811674,
1980.919818135, 1.008073166,
1980.940250316, 1.008378218,
1980.960682597, 1.008115855,
1980.981114678, 1.008566414,
1981.042411318, 1.008502855,
1981.062843496, 1.008032304,
1981.083275675, 1.008445055,
1981.103707853, 1.008524979,
1981.124140031, 1.008160893,
1981.144572207, 1.008419880,
1981.165004384, 1.008412019,
1981.185436660, 1.008333076,
1981.205868736, 1.008435817,
1981.226300912, 1.008279496,
1981.246733187, 1.007984140,
1981.267165261, 1.008058139,
1981.287597435, 1.008191057,
1981.308029709, 1.008273569,
1981.328461782, 1.008436772,
1981.348893955, 1.008290579,
1981.369326227, 1.008229389,
1981.389758299, 1.008123932,
1981.410190470, 1.008264619,
1981.430622641, 1.007961493,
1981.451054812, 1.008458210,
1981.471487082, 1.010284758,
1981.594080094, 1.008735045,
1981.614512261, 1.008069953,
1981.634944327, 1.008324594,
1981.655376593, 1.008233418,
1981.675808759, 1.008201118,
1981.696240824, 1.007699838,
1981.716673089, 1.007934041,
1981.737105253, 1.008067357,
1981.757537317, 1.007942446,
1981.777969581, 1.008024900,
1981.798401744, 1.007948382,
1981.818833807, 1.008341851,
1981.839266069, 1.008050856,
1981.859698230, 1.008137264,
1981.880130392, 1.007924106,
1981.900562552, 1.007924451,
1981.920994713, 1.008231464,
1981.941426973, 1.007978994,
1981.961859033, 1.008384428,
1981.982291192, 1.008379512,
1982.002723451, 1.008021086,
1982.023155609, 1.008770251,
1982.043587667, 1.008196369,
1982.064019924, 1.008363894,
1982.084452081, 1.007994659,
1982.104884137, 1.008152754,
1982.125316394, 1.007932410,
1982.166180605, 1.008301683,
1982.186612860, 1.007921690,
1982.207044914, 1.008201441,
1982.227477068, 1.007724772,
1982.247909321, 1.008170479,
1982.268341374, 1.008154640,
1982.288773527, 1.007670268,
1982.309205779, 1.007820194,
1982.329637831, 1.008144540,
1982.350069982, 1.008372022,
1982.370502233, 1.007836615,
1982.390934384, 1.007606550,
1982.411366533, 1.007627916,
1982.431798683, 1.007975636,
1982.452230832, 1.007665647,
1982.472662981, 1.007744320,
1982.493095129, 1.007862895,
1982.513527278, 1.007847890,
1982.533959525, 1.007620796,
1982.554391572, 1.007476785,
1982.574823718, 1.007790947,
1982.595255965, 1.007756705,
1982.615688010, 1.007577165,
1982.636120156, 1.007617825,
1982.656552401, 1.007963352,
1982.676984445, 1.007678189,
1982.697416589, 1.007871196,
1982.717848833, 1.007624871,
1982.738280876, 1.007425420,
1982.758713019, 1.007386626,
1982.779145261, 1.007597363,
1982.799577303, 1.007649170,
1982.820009444, 1.008971741,
1982.840441685, 1.007772555,
1982.860873826, 1.008073895,
1982.881305966, 1.007506263,
1982.901738106, 1.007735854,
1982.922170145, 1.007496569,
1982.942602384, 1.007602949,
1982.983466560, 1.007780764,
1983.003898798, 1.007659807,
1983.024330935, 1.007892641,
1983.044762972, 1.007645118,
1983.065195208, 1.007249556,
1983.085627344, 1.007447252,
1983.106059379, 1.007796126,
1983.126491614, 1.007734716,
1983.146923749, 1.007620587,
1983.167355783, 1.007784559,
1983.187788017, 1.007522457,
1983.208220150, 1.007462659,
1983.228652283, 1.007577932,
1983.249084416, 1.007666456,
1983.269516547, 1.007416128,
1983.289948679, 1.007286950,
1983.310380810, 1.007660830,
1983.330812941, 1.007187808,
1983.351245172, 1.007174183,
1983.371677302, 1.007033438,
1983.392109331, 1.006898135,
1983.412541560, 1.007173808,
1983.432973689, 1.007378198,
1983.473837945, 1.007063852,
1983.494270072, 1.007308982,
1983.514702099, 1.007055276,
1983.535134325, 1.007562013,
1983.555566452, 1.007460353,
1983.575998477, 1.007489235,
1983.596430703, 1.007110630,
1983.616862828, 1.007338944,
1983.637294852, 1.007139326,
1983.657727076, 1.007366364,
1983.678159100, 1.007269779,
1983.698591323, 1.007165207,
1983.719023446, 1.007513893,
1983.739455468, 1.007654238,
1983.759887590, 1.007345669,
1983.780319811, 1.007641201,
1983.800751932, 1.007019031,
1983.821184053, 1.007187169,
1983.841616173, 1.007178537,
