BJD - 2454833, Corrected Flux
1977.262450597, 1.006172784,
1977.282882861, 1.006257604,
1977.303315024, 1.005762052,
1977.364611912, 1.005755317,
1977.385044173, 1.005595386,
1977.405476434, 1.005672483,
1977.425908694, 1.005703423,
1977.446341054, 1.005768992,
1977.466773214, 1.005429672,
1977.487205573, 1.005784959,
1977.507637832, 1.005844367,
1977.528069990, 1.005669341,
1977.548502347, 1.005467445,
1977.568934605, 1.005330444,
1977.589366761, 1.005768865,
1977.609799117, 1.005338634,
1977.630231373, 1.005408516,
1977.650663529, 1.005487602,
1977.671095883, 1.005464557,
1977.691528138, 1.005503802,
1977.711960291, 1.005387487,
1977.732392645, 1.005676011,
1977.752824898, 1.005337149,
1977.773257050, 1.005450690,
1977.793689402, 1.005871164,
1977.814121654, 1.005293303,
1977.834553905, 1.005304127,
1977.854986156, 1.005539853,
1977.875418406, 1.005410761,
1977.916282905, 1.005588120,
1977.936715153, 1.005421344,
1977.957147501, 1.005428492,
1977.977579650, 1.005618521,
1977.998011897, 1.005341927,
1978.018444244, 1.005604830,
1978.038876390, 1.005261569,
1978.059308636, 1.005603657,
1978.079740981, 1.005264071,
1978.100173126, 1.005164848,
1978.120605371, 1.005216670,
1978.141037715, 1.005158681,
1978.161469859, 1.005547834,
1978.181902102, 1.006192433,
1978.202334444, 1.005368557,
1978.222766586, 1.005548903,
1978.243198928, 1.005338694,
1978.263631169, 1.005364292,
1978.284063410, 1.005309559,
1978.304495650, 1.005600572,
1978.324927890, 1.005311810,
1978.365792368, 1.005469849,
1978.386224607, 1.005432630,
1978.406656845, 1.005579665,
1978.427089082, 1.005108352,
1978.447521319, 1.005150847,
1978.467953556, 1.005323674,
1978.488385792, 1.005154743,
1978.508818028, 1.005350856,
1978.590546866, 1.005511100,
1978.610979199, 1.005588724,
1978.631411432, 1.005426694,
1978.651843764, 1.005478818,
1978.672275896, 1.005590424,
1978.692708128, 1.005276750,
1978.713140459, 1.005421579,
1978.733572589, 1.005546759,
1978.754004820, 1.005343111,
1978.774437149, 1.005423536,
1978.794869378, 1.005346008,
1978.815301507, 1.005387747,
1978.835733835, 1.005224641,
1978.856166063, 1.005409090,
1978.876598191, 1.005508529,
1978.917462744, 1.005446981,
1978.937894869, 1.005569463,
1978.958327195, 1.005257378,
1978.978759420, 1.005227601,
1978.999191545, 1.005290027,
1979.019623869, 1.005540632,
1979.060488216, 1.005391485,
1979.080920539, 1.005051868,
1979.101352761, 1.005525480,
1979.121785082, 1.005590704,
1979.142217204, 1.005216974,
1979.162649425, 1.005346526,
1979.183081645, 1.005417721,
1979.203513865, 1.005684342,
1979.223946085, 1.005295632,
1979.244378304, 1.005613947,
1979.264810522, 1.005339221,
1979.285242741, 1.005174197,
1979.305674958, 1.005497234,
1979.326107176, 1.005446235,
1979.346539392, 1.005350346,
1979.366971709, 1.005288389,
1979.387403824, 1.005713774,
1979.407836040, 1.005513209,
1979.428268355, 1.005559177,
1979.448700469, 1.005301667,
1979.469132683, 1.005239620,
1979.489564996, 1.005326512,
1979.509997110, 1.005448459,
1979.530429323, 1.005579385,
1979.550861635, 1.005298825,
1979.571293746, 1.005401719,
1979.591726058, 1.005291060,
1979.612158269, 1.005361437,
1979.632590479, 1.005340880,
1979.653022689, 1.005536453,
1979.673454899, 1.005278385,
1979.693887107, 1.005397758,
1979.714319316, 1.005165368,
1979.734751524, 1.005639740,
1979.755183732, 1.005216261,
1979.775615939, 1.005423686,
1979.796048146, 1.005298496,
1979.816480352, 1.005402473,
1979.836912658, 1.005621605,
1979.857344763, 1.005157030,
1979.877776968, 1.005499238,
1979.898209173, 1.005518595,
1979.918641377, 1.005245671,
1979.939073580, 1.005457191,
1979.959505783, 1.005238070,
1979.979937986, 1.005347783,
1980.000370188, 1.005357629,
1980.020802390, 1.005318025,
1980.041234592, 1.005361101,
1980.061666892, 1.005616634,
1980.082098992, 1.005494502,
1980.102531193, 1.005402052,
1980.122963492, 1.005358534,
1980.143395591, 1.005671862,
1980.163827790, 1.005368077,
1980.184260088, 1.005224824,
1980.204692286, 1.005086233,
1980.225124383, 1.005170602,
1980.245556680, 1.005317479,
1980.265988876, 1.005173934,
1980.286420972, 1.005482127,
1980.306853267, 1.005320352,
1980.327285463, 1.005044327,
1980.347717557, 1.005322512,
1980.368149851, 1.005695487,
1980.388582045, 1.005312674,
1980.409014138, 1.005366097,
1980.429446431, 1.005410545,
1980.449878623, 1.005306087,
1980.470310815, 1.005495964,
1980.490743007, 1.005492591,
1980.511175197, 1.006466774,
1980.531607488, 1.005250070,
1980.552039578, 1.005236508,
1980.572471768, 1.005168315,
1980.592904057, 1.005302230,
1980.613336145, 1.005494855,
1980.633768334, 1.005329991,
1980.654200622, 1.005330015,
1980.674632709, 1.005230809,
1980.695064896, 1.005464285,
1980.715497182, 1.005712830,
1980.735929269, 1.005328525,
1980.756361454, 1.005230354,
1980.776793739, 1.005531918,
1980.797225824, 1.005294935,
1980.817658008, 1.005430515,
1980.838090292, 1.005403712,
1980.858522376, 1.005469031,
1980.878954558, 1.005327022,
1980.899386841, 1.005515776,
1980.919818923, 1.005314872,
1980.940251105, 1.005424823,
1980.960683386, 1.005334031,
1980.981115467, 1.005506540,
1981.042412106, 1.005015433,
1981.062844285, 1.005141340,
1981.103708642, 1.005257548,
1981.124140819, 1.005142659,
1981.144572996, 1.004963353,
1981.165005173, 1.005105802,
1981.185437449, 1.005355511,
1981.205869525, 1.005299857,
1981.226301701, 1.005438698,
1981.246733976, 1.005074411,
1981.267166050, 1.005523704,
1981.287598224, 1.005306394,
1981.308030498, 1.005261756,
1981.328462571, 1.005272576,
1981.348894744, 1.005351689,
1981.369327016, 1.005566632,
1981.389759088, 1.005332450,
1981.410191260, 1.012245655,
1981.430623431, 1.005121639,
1981.451055601, 1.005194125,
1981.594080883, 1.005082457,
1981.614513050, 1.004908080,
1981.634945117, 1.005235275,
1981.655377383, 1.005172485,
1981.675809549, 1.005080405,
1981.696241613, 1.005118760,
1981.716673879, 1.005186508,
1981.737106043, 1.005061682,
1981.757538107, 1.005076691,
1981.777970370, 1.005095073,
1981.798402533, 1.004913112,
1981.818834596, 1.005331110,
1981.839266858, 1.005000265,
1981.859699021, 1.005325080,
1981.880131182, 1.005261756,
1981.900563343, 1.005048239,
1981.920995503, 1.005219537,
1981.941427763, 1.005212191,
1981.961859823, 1.005186752,
1981.982291982, 1.005236948,
1982.002724241, 1.005192068,
1982.023156399, 1.005137353,
1982.043588457, 1.005181489,
1982.064020714, 1.005292306,
1982.084452871, 1.005207199,
1982.104884928, 1.004913097,
1982.125317184, 1.005221534,
1982.145749240, 1.005085204,
1982.166181395, 1.005051001,
1982.186613650, 1.005155619,
1982.207045704, 1.005071094,
1982.227477858, 1.005345221,
1982.247910112, 1.005005773,
1982.268342165, 1.005114260,
1982.288774317, 1.005080979,
1982.309206569, 1.005119662,
1982.329638621, 1.005065874,
1982.350070773, 1.005071587,
1982.370503024, 1.005146314,
1982.390935174, 1.005064094,
1982.411367324, 1.005174852,
1982.431799474, 1.004952685,
1982.452231623, 1.005335048,
1982.472663772, 1.005074246,
1982.493095920, 1.005177324,
1982.513528068, 1.005219361,
1982.533960315, 1.005205769,
1982.554392363, 1.005085888,
1982.574824509, 1.005167108,
1982.595256755, 1.005240067,
1982.615688801, 1.005108967,
1982.636120946, 1.005232528,
1982.656553191, 1.004951263,
1982.676985236, 1.005316365,
1982.697417380, 1.005054418,
1982.717849623, 1.005302658,
1982.738281667, 1.004990886,
1982.758713809, 1.004962129,
1982.779146052, 1.004899047,
1982.799578094, 1.005126830,
1982.820010235, 1.005040579,
1982.840442476, 1.005076729,
1982.860874616, 1.005419612,
1982.881306757, 1.005159373,
1982.901738897, 1.005109013,
1982.922170936, 1.005315379,
1982.942603175, 1.004956125,
1982.983467351, 1.004976541,
1983.003899589, 1.005230833,
1983.024331726, 1.005070410,
1983.044763763, 1.004826814,
1983.065195999, 1.005245311,
1983.085628135, 1.004883670,
1983.106060170, 1.005000629,
1983.126492405, 1.005065192,
1983.146924540, 1.005064065,
1983.167356575, 1.005022818,
1983.187788808, 1.004890376,
1983.208220941, 1.004967734,
1983.228653074, 1.005156821,
1983.249085207, 1.004992323,
1983.269517339, 1.005105874,
1983.289949471, 1.005088923,
1983.310381602, 1.005145941,
1983.330813733, 1.004798767,
1983.351245963, 1.004900355,
