BJD - 2454833, Corrected Flux
1977.262453197, 1.003004386,
1977.282885462, 1.003741450,
1977.303317627, 1.002336660,
1977.364614518, 1.002204589,
1977.385046782, 1.001930550,
1977.405479044, 1.002098667,
1977.425911306, 1.001314457,
1977.446343667, 1.002061132,
1977.466775828, 1.001903998,
1977.487208189, 1.002446902,
1977.507640448, 1.003249621,
1977.528072608, 1.001991552,
1977.548504967, 1.002258311,
1977.568937226, 1.001491620,
1977.589369384, 1.002512248,
1977.609801741, 1.003248574,
1977.630233999, 1.001591273,
1977.650666155, 1.001376122,
1977.671098511, 1.002473657,
1977.691530767, 1.001671950,
1977.711962922, 1.002045431,
1977.732395277, 1.001665234,
1977.752827531, 1.002742402,
1977.773259685, 1.001619005,
1977.793692038, 1.001873587,
1977.814124292, 1.001906160,
1977.834556544, 1.001561914,
1977.854988796, 1.001380229,
1977.875421048, 1.000998190,
1977.895853298, 1.002057263,
1977.916285549, 1.000841251,
1977.936717799, 1.001642747,
1977.957150149, 1.002654885,
1977.977582298, 1.001253324,
1977.998014547, 1.001132427,
1978.018446895, 1.002224898,
1978.038879043, 1.001211369,
1978.059311290, 1.002778843,
1978.079743637, 1.001383866,
1978.100175783, 1.000714075,
1978.120608029, 1.002743316,
1978.141040374, 1.001839251,
1978.161472519, 1.001840605,
1978.181904764, 1.001745470,
1978.202337108, 1.001152114,
1978.222769251, 1.001819848,
1978.243201594, 1.002044846,
1978.263633837, 1.001342931,
1978.284066079, 1.002101624,
1978.304498321, 1.001012075,
1978.324930562, 1.001858306,
1978.345362803, 1.002076435,
1978.365795043, 1.002054864,
1978.406659523, 1.001838110,
1978.427091761, 1.001600913,
1978.447524000, 1.001378525,
1978.467956238, 1.002390558,
1978.488388475, 1.002063343,
1978.508820712, 1.001007156,
1978.529252849, 1.001587135,
1978.590549556, 1.001940755,
1978.610981890, 1.001628518,
1978.631414125, 1.000934867,
1978.651846458, 1.002023987,
1978.672278592, 1.001607851,
1978.692710825, 1.001679713,
1978.713143157, 1.001510465,
1978.733575289, 1.002661980,
1978.754007521, 1.001313459,
1978.774439851, 1.001282338,
1978.794872082, 1.001634972,
1978.815304212, 1.001113732,
1978.835736542, 1.001579214,
1978.856168771, 1.001873916,
1978.876600900, 1.002085335,
1978.917465456, 1.001934922,
1978.937897583, 1.001015334,
1978.978762136, 1.003001523,
1978.999194262, 1.001212397,
1979.019626588, 1.001941204,
1979.060490937, 1.001966054,
1979.080923261, 1.001283906,
1979.101355485, 1.002064042,
1979.121787808, 1.001740233,
1979.142219931, 1.002201888,
1979.162652153, 1.001286709,
